numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
1,"El objetivo principal del POUM es la regulación urbanística en el territorio del ámbito municipal, determinando un régimen urbanístico del suelo a cada parcela o ámbito de este",multiple,,Vertader,El POUM (Pla d’Ordenació Urbanística Municipal) es el instrumento de planeamiento general que organiza integralmente el territorio del municipio.
2,Un suelo URBANITZABLE es aquel suelo que puede ser edificado de acuerdo con lo que dispone la calificación o zonificación urbanística. Puede ser consolidado o no consolidado,multiple,,Fals,"El suelo urbanizable es aquel que requiere de transformación urbanística (plan parcial, reparcelación, urbanización) para ser apto para la edificación. No es apto directamente."
3,Todo parcela de suelo urbano es por definición un solar,multiple,,Fals,"Un solar es una parcela de suelo urbano que además está urbanizada (tiene servicios: agua, luz, acceso rodado..). No todo suelo urbano es solar (ej. urbano no consolidado)."
4,"Los Planes Directores Urbanísticos concretan el emplazamiento de las grandes infraestructuras, protegen el suelo no urbanizable, incluyen determinaciones sobre el desarrollo urbanístico sostenible y programen políticas de suelo y de vivienda con interés supramunicipal.",multiple,,Vertader,Los PDU (Planes Directores Urbanísticos) tienen alcance supramunicipal y coordinan infraestructuras y protección del territorio.
5,Un suelo URBÀNO puede ser delimitado o no delimitado.,multiple,,Fals,El suelo urbano se divide en Consolidado (solar) y No Consolidado (necesita reforma interior o completar urbanización). Delimitado/No delimitado aplica más a urbanizable.
6,"Las principales figuras de planteamiento urbanístico son: alineación por vial:, edificación aislada en parcela y volumetria específica",multiple,,Fals,"Las figuras son Planes Directores, POUM, Normas Subsidiarias, etc. Lo citado (alineación, aislada) son sistemas de ordenación de la edificación."
7,En ningún caso es posible la sustitución de cesión de suelo con el aprovechamiento de su equivalente en otros terrenos fuera del sector o del polígono o por el equivalente del su valor económico en caso que la parcela sea indivisible,multiple,,Fals,La reparcelación permite la sustitución por indemnización o traslado de aprovechamiento en ciertos casos.
8,"La única función del POUM es la de definir clasficar el suelo en: urbano, urbanizable y no urbanizable",multiple,,Fals,"El POUM define también la estructura general, cataloga bienes, prevé infraestructuras, etc. No es su 'única' función clasificar."
9,El suelo NO URBANIZADO es aquel suelo que no es apto para urbanizar.,multiple,,Fals,"Suelo No Urbanizable es aquel protegido por sus valores o riesgos, impropio para el desarrollo urbano."
10,"El Certificado urbanístico es un documento, emitido por el gobierno autonómico que certifica la cualificación de la parcela con un período de vigencia de 9 meses.",multiple,,Fals,El certificado suele informar del régimen urbanístico vigente.
11,Los Forjados mixtos o colaborantes es un tipo de forjado bidireccional,multiple,,Fals,"El forjado colaborante es un sistema mixto hormigón-acero, habitualmente unidireccional (la chapa grecada marca la dirección)."
12,"Los forjados reciben las cargas verticales y las transmiten a les vigas (forjados unidireccionales) o directamente a los soportes (forjados reticulares), y estos los transmiten al terreno a través de la cimentación",multiple,,Vertader,Es el camino de cargas: Forjado -> Vigas (o Soportes) -> Pilares -> Cimentación -> Terreno.
13,"Las estructuras metálicas se caracterizan por su ligereza, rápido montaje y bajo mantenimiento",multiple,,Vertader,Ventajas clave de la estructura metálica. Desventaja: protección fuego y corrosión.
14,Los forjados bidireccionales son siempre prefabricados,multiple,,Fals,Los bidireccionales pueden ser in situ (losa maciza) o reticulares (casetones in situ o recuperables).
15,Debido a la anisotropía la madera tiene alta eficiencia en la transmisión de esfuerzos,multiple,,Fals,"La madera es anisotrópica (distintas propiedades según dirección), lo que complica las uniones y la transmisión de esfuerzos."
16,"El diseño de la estructura y la elección de los materiales no debe estar influenciados por los factores económicos, temporales, estéticos, disponibilidad y utilidad",multiple,,Fals,"Todos esos factores (económico, estético, plazo, disponibilidad) son determinantes en la elección estructural."
17,Tanto en el caso de las estructuras de hormigón como las estructuras metálicas requieren de pintura ignifuga como elemento de protección contra el fuego,multiple,,Fals,El hormigón tiene buena resistencia al fuego por sí mismo (recubrimiento). El acero sí requiere pintura o protección casi siempre.
18,Los Forjados mixtos o colaborantes están constituidos por una chapa grecada (colaborante) de acero que se arma de positivo en una dirección y se hormigona,multiple,,Vertader,La chapa trabaja a tracción (positivo) y sirve de encofrado perdido.
19,Los forjados reticulares con casetones recuperables son típicos de forjados unidireccionales,multiple,,Fals,"Los casetones recuperables son típicos de forjados reticulares (bidireccionales), crean los nervios en dos direcciones."
20,"En el caso de los forjados bidireccionales, entre las viguetas se colocan los las bovedillas que sirven para reducir el peso propio del conjunto",multiple,,Fals,Las bovedillas se usan entre viguetas en forjados unidireccionales. En reticulares se usan casetones.
21,Las Arenas y las Gravas son suelos granulares,multiple,,Vertader,Suelos granulares (cohesión nula o baja): gravas y arenas. Suelos finos (cohesivos): limos y arcillas.
22,"Los SUELOS FINOS son suelos constituidos por materiales de origen sedimentario, en los que el porcentaje de finos (limos y arcillas) es inferior al 35% en peso",multiple,,Fals,Suelos finos tienen >35% de paso por tamiz #200 (0.075mm).
23,"Las Arcillas son cohesivas i duras en estado seco, pero consoliden muy rápidamente",multiple,,Fals,Las arcillas son duras en seco pero pierden resistencia con humedad y consolidan lentamente (asientos diferidos).
24,La normativa recomienda pero no obliga a la realización de un estudio previo al cálculo de las cimentaciones del edificio,multiple,,Fals,El CTE obliga a realizar el estudio geotécnico.
25,La clasificación de los terrenos se hace a partir de su tensión admisible,multiple,,Vertader,La tensión admisible es el parámetro clave para dimensionar la cimentación.
26,"La profundidad de una zapata superficial no acostumbra a ser superior a 1,50 m",multiple,,Vertader,Zapatas superficiales suelen estar a poca profundidad. Si hay que ir más profundo se usan pozos o pilotes.
27,En las cimentaciones profundas las cargas se transmiten por la base inferior de la cimentación,multiple,,Fals,Cimentación profunda (pilotes) transmite por punta y por rozamiento lateral (fuste).
28,Las cimentaciones semiprofundas transmiten las cargas al terreno por punta y rozamiento lateral,multiple,,Fals,Semiprofundas (pozos) son intermedias.
29,Uno de los ensayos geotécnicos más habituales para conocer el terreno es el sondeo y consiste en medir el número de golpes (N) necesarios para qué se introduzca a una determinada profundidad una cuchara cilíndrica,multiple,,Fals,Describe el ensayo SPT (Standard Penetration Test).
30,"Los limos son partículas de tamaño entre 0,075 i 0,005mm que habitualmente conforman depósitos blandos que se encuentran mezclados con arenas y gravas",multiple,,Vertader,"Limos son finos, con poca plasticidad comparados con arcillas."
31,"La Protección activa contra incendios desempeña un papel curativo y representa todos los sistemas de detección y extinción de incendios, por lo tanto, está destinada a advertir a los usuarios de un incendio y actuar sobre él a través de una intervención",multiple,,Vertader,Protección activa = Detección + Extinción (actúa).
32,La Protección pasiva contra incendios juega un papel preventivo. Representa todas las medidas constructivas que permiten que una estructura resista un incendio durante un tiempo determinado (fijado por las normas relativas al tipo de edificio).,multiple,,Vertader,Protección pasiva = Resistencia estructural + Sectorización + Evacuación (previene/contiene).
33,"Detectores, rociadores y extintores son elementos de protección pasiva contra incendios.",multiple,,Fals,"Detectores y rociadores son Activa. Pasiva son puertas RF, muros, etc."
34,Los riesgos inherentes a los establecimientos industriales vienen regulados en el Real Decreto 2267/2004 por el que se aprueba el Reglamento de Seguridad contra Incendios en los Establecimientos Industriales.,multiple,,Vertader,El RSCIEI (RD 2267/2004) regula la seguridad industrial.
35,El Real Decreto 2267/2004 establecen tres únicas tipologías o configuraciones distintas para los establecimientos industriales atendiendo a su ubicación,multiple,,Fals,"Establece 5 tipos: A, B, C, D, E."
36,"De acuerdo con el Real Decreto 2267/2004 el establecimiento industrial que ocupa parcialmente un edificio que tiene, además, otros establecimientos, ya sean éstos de uso industrial o bien de otros usos es un establecimiento industrial Tipo C",multiple,,Fals,Si comparte edificio es Tipo A.
37,De acuerdo con el Real Decreto 2267/2004 El establecimiento industrial tipo E es el que ocupa un espacio abierto que puede tener cubierta hasta el 50% de la superficie ocupada,multiple,,Vertader,"Tipo E es espacio abierto (patio), Tipo D es abierto con cubierta."
