numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
1,Una fuente de energía es un sistema que transforma...,multiple,Energía acumulada en flujo de energía|Flujo de energía en energía acumulada|Energía eléctrica en calor|Calor en trabajo,Energía acumulada en flujo de energía,Definición básica de fuente.
2,La energía geotérmica aprovecha...,multiple,El calor interno de la Tierra|La radiación solar|La marea|El viento,El calor interno de la Tierra,Fuente de energía térmica natural.
3,Un transformador A/F convierte...,multiple,Energía Acumulada en Flujo|Flujo en Acumulada|Flujo en Flujo|Acumulada en Acumulada,Energía Acumulada en Flujo,A/F = Acumulador a Flujo.
4,La combustión es una transformación de...,multiple,Energía química en calor|Energía nuclear en calor|Energía cinética en calor|Energía potencial en trabajo,Energía química en calor,Reacción exotérmica.
5,Un motor térmico motor transforma...,multiple,Calor en trabajo mecánico|Trabajo en calor|Energía eléctrica en química|Luz en electricidad,Calor en trabajo mecánico,Definición fundamental de MT.
6,"En un motor exotérmico, la combustión ocurre fuera del fluido de trabajo.",multiple,,Vertader,Ejemplo: Máquina de vapor o Stirling.
7,"En un motor endotérmico, la combustión ocurre dentro del fluido de trabajo.",multiple,,Vertader,Ejemplo: Motor de combustión interna (Otto/Diesel).
8,El Ciclo de Carnot es el ciclo más eficiente posible entre dos temperaturas.,multiple,,Vertader,Teorema de Carnot.
9,El Ciclo de Carnot consta de...,multiple,Dos isotermas y dos adiabáticas|Dos isócoras y dos isobaras|Dos isotermas y dos isócoras|Una isoterma y tres adiabáticas,Dos isotermas y dos adiabáticas,Procesos reversibles.
10,El rendimiento del ciclo de Carnot depende solo de...,multiple,Las temperaturas de los focos caliente y frío|El fluido de trabajo|La presión máxima|El volumen,Las temperaturas de los focos caliente y frío,n = 1 - (Tc/Th).
11,El ciclo Otto es el ciclo ideal de los motores de...,multiple,Encendido por chispa (gasolina)|Encendido por compresión (diésel)|Turbinas de gas|Vapor,Encendido por chispa (gasolina),MEP (Motores de Encendido Provocado).
12,La combustión en el ciclo Otto teórico se modela como...,multiple,A volumen constante (Isócora)|A presión constante (Isobara)|A temperatura constante|Adiabática,A volumen constante (Isócora),Explosión rápida.
13,El ciclo Diesel es el ciclo ideal de los motores de...,multiple,Encendido por compresión|Gasolina|Vapor|Stirling,Encendido por compresión,MEC (Motores de Encendido por Compresión).
14,La combustión en el ciclo Diesel teórico se modela como...,multiple,A presión constante (Isobara)|A volumen constante|Isoterma|Adiabática,A presión constante (Isobara),Inyección progresiva.
15,El ciclo Sabathé o Mixto tiene...,multiple,Una parte de combustión a V constante y otra a P constante|Toda la combustión a P constante|Toda a V constante|Dosadiabáticas,Una parte de combustión a V constante y otra a P constante,Más realista para motores diesel rápidos.
16,El ciclo Brayton es el ciclo de las...,multiple,Turbinas de gas|Máquinas de vapor|Motores Otto|Refrigeradores,Turbinas de gas,"Compresión y expansión adiabáticas, calentamiento y enfriamiento isobaras."
17,El ciclo Rankine se usa en...,multiple,Centrales térmicas de vapor|Coches|Aviones|Cohetes,Centrales térmicas de vapor,Usa cambio de fase líquido-vapor.
18,El ciclo Stirling teórico tiene dos isotermas y dos...,multiple,Isócoras|Isobaras|Adiabáticas|Polintrópicas,Isócoras,Con regeneración es tan eficiente como Carnot.
19,El ciclo Ericsson teórico tiene dos isotermas y dos...,multiple,Isobaras|Isócoras|Adiabáticas|Isentrópicas,Isobaras,También alcanza eficiencia Carnot con regeneración.
20,"En un motor de 4 tiempos, el ciclo completo dura...",multiple,2 vueltas de cigüeñal (720°)|1 vuelta (360°)|4 vueltas|Media vuelta,2 vueltas de cigüeñal (720°),"Admisión, Compresión, Expansión, Escape."
21,"En un motor de 2 tiempos, el ciclo completo dura...",multiple,1 vuelta de cigüeñal (360°)|2 vueltas|Media vuelta|4 vueltas,1 vuelta de cigüeñal (360°),Una explosión por vuelta.
22,La relación de compresión es el cociente entre...,multiple,Volumen máximo y volumen mínimo (cámara)|Diámetro y carrera|Presión máxima y mínima|Potencia y par,Volumen máximo y volumen mínimo (cámara),(Vd + Vc) / Vc.
23,El dosado estequiométrico es...,multiple,La relación ideal aire/combustible para combustión completa|La cantidad máxima de gasolina|El exceso de aire|La mezcla rica,La relación ideal aire/combustible para combustión completa,Químicamente justa sin sobrar reactivos.
24,"Si mezcla es 'rica' (lambda < 1), significa que...",multiple,Falta aire (o sobra combustible)|Sobra aire|Es perfecta|No quema,Falta aire (o sobra combustible),Produce CO e inquemados.
25,El picado de bielas (detonación) en motores Otto se debe a...,multiple,Autoencendido espontáneo de la mezcla antes de tiempo|Fallo de la bujía|Exceso de aceite|Baja compresión,Autoencendido espontáneo de la mezcla antes de tiempo,Combustión anormal muy dañina.
26,El número de Octano mide...,multiple,La resistencia a la detonación de la gasolina|La potencia|La energía|La viscosidad,La resistencia a la detonación de la gasolina,Mayor octanaje permite mayor compresión sin picar.
27,El número de Cetano mide...,multiple,La facilidad de autoignición del diésel|La resistencia a detonar|La volatilidad|El poder calorífico,La facilidad de autoignición del diésel,Mayor cetano = menor retardo de ignición.
28,La cilindrada unitaria es el volumen...,multiple,Desplazado por el pistón en una carrera|Total del cilindro|De la cámara de combustión|Del aceite,Desplazado por el pistón en una carrera,Area x Carrera.
29,La carrera (S) es la distancia entre...,multiple,El PMS y el PMI|El diámetro del cilindro|El cigüeñal y la biela|Las válvulas,El PMS y el PMI,Punto Muerto Superior e Inferior.
30,PMS significa...,multiple,Punto Muerto Superior|Potencia Máxima Sostenida|Presión Media Sistema|Punto Mínimo Salida,Punto Muerto Superior,Punto más alto del pistón.
31,El cruce de válvulas es el momento en que...,multiple,Están abiertas admisión y escape simultáneamente|Están cerradas ambas|Se cruzan los ejes|Se rompe la correa,Están abiertas admisión y escape simultáneamente,Al final de escape e inicio de admisión para barrido.
32,La sobrealimentación (Turbo/Compresor) busca...,multiple,Aumentar la densidad del aire en admisión para quemar más combustible|Enfriar el motor|Reducir el ruido|Ahorrar aceite,Aumentar la densidad del aire en admisión para quemar más combustible,Más oxígeno = más potencia en mismo volumen.
33,El Intercooler sirve para...,multiple,Enfriar el aire comprimido para aumentar su densidad|Enfriar el agua del motor|Calentar la gasolina|Enfriar el aceite,Enfriar el aire comprimido para aumentar su densidad,El aire al comprimirse se calienta y pierde densidad.
34,El motor Wankel es un motor...,multiple,Rotativo|Alternativo de pistones|De reacción|Eléctrico,Rotativo,Usa un rotor triangular en una carcasa epitrocoide.
35,"En el Wankel, el ciclo de 4 tiempos ocurre...",multiple,En cada una de las 3 caras del rotor|Una vez por vuelta de rotor|Solo en una cara|No tiene 4 tiempos,En cada una de las 3 caras del rotor,3 ciclos por vuelta de rotor.
36,El rotor del Wankel gira a...,multiple,1/3 de la velocidad del eje excéntrico|La misma velocidad|El triple de velocidad|El doble,1/3 de la velocidad del eje excéntrico,Reducción interna.
37,La propulsión a reacción se basa en el principio de...,multiple,Acción y Reacción (3ª Ley Newton)|Conservación de la energía|Arquímedes|Bernoulli,Acción y Reacción (3ª Ley Newton),Expulsión de masa a alta velocidad.
38,"En una tobera supersónica (Laval), la sección...",multiple,Primero converge y luego diverge|Es constante|Siempre converge|Siempre diverge,Primero converge y luego diverge,Garganta sónica.
39,El empuje de un cohete depende de...,multiple,El gasto másico y la velocidad de salida de los gases|La temperatura externa|La presión del tanque solo|El volumen,El gasto másico y la velocidad de salida de los gases,F = m_dot * Ve + (Pe-Pa)Ae.
40,"En una turbina de gas simple, los componentes principales son...",multiple,"Compresor, Cámara de Combustión, Turbina|Caldera, Pistón, Condensador|Bomba, Evaporador, Válvula|Cilindro, biela, cigüeñal","Compresor, Cámara de Combustión, Turbina",Ciclo Brayton abierto.
41,El trabajo útil en una turbina de gas es la diferencia entre...,multiple,Trabajo de turbina y trabajo de compresor|Calor y trabajo|Entalpía y entropía|Presión y temperatura,Trabajo de turbina y trabajo de compresor,El compresor consume mucha potencia (ratio alto).
42,La regeneración en el ciclo Brayton consiste en...,multiple,Precalentar el aire comprimido con los gases de escape|Refrigerar el aire|Volver a comprimir|Inyectar agua,Precalentar el aire comprimido con los gases de escape,Aumenta el rendimiento recuperando calor residual.
43,Un turborreactor (jet) genera empuje principalmente por...,multiple,La expulsión de gases a alta velocidad por la tobera|La hélice|El eje|Las ruedas,La expulsión de gases a alta velocidad por la tobera,Todo el trabajo va a energía cinética del gas.
44,Un turboventilador (turbofan) tiene...,multiple,Un fan (ventilador) grande frontal que deriva parte del aire (bypass)|Pistones|Hélice externa|Rotor Wankel,Un fan (ventilador) grande frontal que deriva parte del aire (bypass),Más eficiente y silencioso que el turbojet puro.
45,"En el ciclo Rankine, el fluido de trabajo cambia de fase.",multiple,,Vertader,Agua líquida -> Vapor -> Líquido.
46,La función del condensador es...,multiple,Convertir vapor a líquido cediendo calor al foco frío|Calentar el agua|Comprimir el vapor|Expandir el vapor,Convertir vapor a líquido cediendo calor al foco frío,Cierra el ciclo y baja la presión de escape.
47,El sobrecalentamiento del vapor aumenta el rendimiento y protege la turbina de la humedad.,multiple,,Vertader,Evita gotas de agua en las últimas etapas.
48,Una turbina de acción (Laval) transforma la presión en velocidad en...,multiple,El estator (toberas)|El rotor|El eje|La carcasa,El estator (toberas),En el rotor la presión se mantiene constante.
49,Una turbina de reacción transforma la presión en velocidad en...,multiple,Tanto en el estator como en el rotor|Solo estator|Solo rotor|Ninguno,Tanto en el estator como en el rotor,Cae presión en ambos.
50,El regenerador en el motor Stirling es fundamental porque...,multiple,"Almacena calor del gas caliente y lo cede al frío, aumentando eficiencia|Filtra el aire|Lubrica el pistón|Enciende la mezcla","Almacena calor del gas caliente y lo cede al frío, aumentando eficiencia","Sin él, el rendimiento es muy bajo."
51,El motor Stirling es de combustión externa.,multiple,,Vertader,Puede usar cualquier fuente de calor.
52,La cogeneración consiste en...,multiple,Producir electricidad y calor útil simultáneamente|Producir solo electricidad|Producir frío|Quemar basura,Producir electricidad y calor útil simultáneamente,Aumenta el rendimiento global de la energía primaria.
53,La trigeneración produce...,multiple,"Electricidad, calor y frío|Electricidad, vapor y agua|Calor, movimiento y luz|Tres tipos de combustible","Electricidad, calor y frío",Usa calor residual para refrigeración por absorción.
54,Una pila de combustible transforma...,multiple,Energía química directamente en electricidad|Calor en electricidad|Electricidad en hidrógeno|Luz en calor,Energía química directamente en electricidad,"Proceso electroquímico, no termodinámico (sin Carnot)."
55,La pila PEM usa una membrana de...,multiple,Intercambio de protones (polimérica)|Cerámica|Ácido líquido|Carbonato fundido,Intercambio de protones (polimérica),Proton Exchange Membrane. Baja temperatura.
56,El combustible más común para pilas de combustible es...,multiple,Hidrógeno|Carbón|Gasolina|Madera,Hidrógeno,Residuo: Agua.
57,El Primer Principio de la Termodinámica es la conservación de la energía.,multiple,,Vertader,Q - W = Delta U.
58,La entalpía (H) se define como...,multiple,U + PV|U - PV|T * S|P / T,U + PV,Energía interna + trabajo de flujo.
59,La entropía (S) mide...,multiple,El desorden o irreversibilidad del sistema|La temperatura|La presión|El calor total,El desorden o irreversibilidad del sistema,Segundo principio: dS >= dQ/T.
60,Un proceso adiabático es aquel en que...,multiple,No hay intercambio de calor con el entorno|La temperatura es constante|La presión es constante|El volumen es constante,No hay intercambio de calor con el entorno,Q = 0.
61,Un proceso isentrópico es adiabático y reversible.,multiple,,Vertader,Entropía constante.
62,Los motores de 2 tiempos suelen tener mayor potencia específica que los de 4 tiempos.,multiple,,Vertader,Doble de explosiones a mismas RPM.
63,Los motores de 2 tiempos consumen y contaminan más que los de 4 tiempos.,multiple,,Vertader,Pérdida de combustible por el escape y quema de aceite.
64,Las lumbreras sustituyen a las válvulas en el motor de 2 tiempos clásico.,multiple,,Vertader,Orificios en el cilindro.
65,El cárter de un motor 2T suele usarse para precompresión.,multiple,,Vertader,La mezcla pasa por el cárter.
66,El ciclo Atkinson mejora el rendimiento permitiendo una expansión mayor que la compresión.,multiple,,Vertader,Usado en híbridos (Toyota Prius).
67,El ciclo Miller es una variación del Otto con cierre anticipado/retrasado de admisión.,multiple,,Vertader,Usa compresor.
68,La relación de compresión en turbinas de gas es mucho menor que en Diesel.,multiple,,Fals,"Suele ser alta, pero el concepto es relación de presiones."
69,La temperatura de entrada a la turbina está limitada por...,multiple,La resistencia de los materiales de los álabes|El combustible|El compresor|La presión,La resistencia de los materiales de los álabes,Punto crítico (TIT).
70,La refrigeración de los álabes permite aumentar la temperatura de entrada.,multiple,,Vertader,Aire sangrado del compresor por dentro del álabe.
71,La calidad del vapor (x) es...,multiple,La fracción de masa que es vapor en una mezcla líquido-vapor|La temperatura|La presión|La pureza del agua,La fracción de masa que es vapor en una mezcla líquido-vapor,"x=1 vapor saturado seco, x=0 líquido saturado."
72,El ciclo Rankine Orgánico (ORC) usa fluidos orgánicos en lugar de agua.,multiple,,Vertader,"Para bajas temperaturas (geotermia, solar, residuos)."
73,El catalizador de tres vías reduce...,multiple,"NOx, CO y HC|Solo CO2|Humo|Ruido","NOx, CO y HC","Monóxido, Hidrocarburos y Óxidos de Nitrógeno."
74,El filtro de partículas (FAP/DPF) elimina...,multiple,El hollín (partículas sólidas) de los diésel|El CO2|El agua|El NOx,El hollín (partículas sólidas) de los diésel,Humo negro.
75,La válvula EGR recircula gases de escape para reducir...,multiple,Los NOx (Óxidos de Nitrógeno)|La potencia|El CO2|El consumo,Los NOx (Óxidos de Nitrógeno),Baja la temperatura de combustión.
76,El AdBlue (Urea) se usa en sistemas SCR para reducir...,multiple,NOx|Partículas|CO|HC,NOx,Catalizador de Reducción Selectiva.
77,El trabajo (W) es una función de estado.,multiple,,Fals,Es función de línea (depende del camino).
78,El calor (Q) es una función de estado.,multiple,,Fals,También depende del camino.
79,La energía interna (U) es una función de estado.,multiple,,Vertader,Depende solo del estado inicial y final.
80,1 caballo de vapor (CV) equivale aproximadamente a...,multiple,736 W|1000 W|500 W|100 W,736 W,0.736 kW.
