numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
1,¿Cuál de las siguientes afirmaciones es cierta?,multiple,Siempre es posible fabricar una pieza en una única fase.|Todos los procesos son siempre deterministas.|En muchas ocasiones es recomendable utilizar varias fases de fabricación.|Las otras tres afirmaciones son falsas.,En muchas ocasiones es recomendable utilizar varias fases de fabricación.,En la práctica industrial es habitual dividir la fabricación en varias fases para mejorar calidad y eficiencia.
2,¿Cuál de los siguientes es una característica típica de las máquinas CNC?,multiple,Baja precisión de posicionamiento.|Alta dependencia del trabajo manual.|Alta repetibilidad y fiabilidad.|Complejidad elevada del sistema mecánico.,Alta repetibilidad y fiabilidad.,Las máquinas CNC destacan por su repetibilidad y fiabilidad en los procesos automatizados.
3,¿Qué diferencia principal hay entre un control con lazo abierto y uno con lazo cerrado en una máquina CNC?,multiple,El control con lazo abierto necesita captadores de posición.|El control con lazo abierto funciona sin motores.|El control con lazo cerrado puede corregir errores mediante la retroalimentación de posición.|El control con lazo cerrado sólo funciona en máquinas de 5 ejes.,El control con lazo cerrado puede corregir errores mediante la retroalimentación de posición.,El lazo cerrado usa feedback para corregir errores de posicionamiento.
4,¿Qué combinación de factores afectará negativamente a la precisión de la trayectoria real interpolada en una máquina CNC?,multiple,"Sólo la velocidad de avance programada.|Exclusivamente la masa de la herramienta y el material.|La duración del periodo de muestreo y la velocidad de avance, ya que pueden provocar una trayectoria poligonalizada.|Sólo la temperatura ambiente y las vibraciones externas.","La duración del periodo de muestreo y la velocidad de avance, ya que pueden provocar una trayectoria poligonalizada.",Un muestreo lento y alta velocidad generan trayectorias poligonales.
5,¿Cuál de las siguientes afirmaciones sobre las máquinas de control numérico es cierta?,multiple,Las impresoras 3D domésticas son máquinas de control numérico.|Una máquina de control numérico únicamente puede tener automatizada la función principal.|El elemento de control de una máquina de control numérico siempre es un PC.|La función principal de todas las máquinas de control numérico es fabricar piezas.,Las impresoras 3D domésticas son máquinas de control numérico.,Las impresoras 3D funcionan mediante control numérico programado.
6,¿Cuál de las siguientes funciones es no modal?,multiple,G0|M6|S1000|Las tres funciones indicadas son modales.,M6,M6 (cambio de herramienta) sólo se ejecuta una vez y no queda activa.
7,¿Cuál de las siguientes afirmaciones sobre el ciclo fijo de taladrado G81 es falsa?,multiple,La Z indica la altura del plano de referencia.|Es un ciclo fijo modal.|Es posible definir un tiempo de espera de la broca en el fondo del taladro.|La broca obligatoriamente entra y sale del agujero girando.,La Z indica la altura del plano de referencia.,"En G81 la Z indica la profundidad, no el plano de referencia."
8,"En una estación de montaje, si el tiempo de transferencia es menor que el tiempo de las acciones que no interfieren con el palet, se puede afirmar que:",multiple,Utilizar transporte síncrono disminuirá el tiempo de ciclo.|Aumentar la velocidad del manipulador aumentará la productividad.|Aumentar la velocidad de las pinzas al coger la pieza disminuirá el tiempo de ciclo.|Aumentar la velocidad de las pinzas al dejar la pieza disminuirá el tiempo de ciclo.,Aumentar la velocidad del manipulador aumentará la productividad.,Sólo las acciones que interfieren afectan al tiempo de ciclo.
9,En una línea de montaje con visión artificial y robots con cambio automático de herramienta se puede afirmar que:,multiple,Es totalmente flexible.|Es rígida.|Necesita poder anular estaciones para ser totalmente flexible.|Las otras tres afirmaciones son falsas.,Necesita poder anular estaciones para ser totalmente flexible.,La flexibilidad total requiere poder saltar estaciones.
10,¿Qué tipo de robot garantiza igual repetibilidad en toda el área de trabajo?,multiple,Cartesiano.|Antropomórfico.|Scara.|Delta.,Cartesiano.,Los robots cartesianos mantienen precisión uniforme en todo su volumen.
11,¿Cuál de las siguientes afirmaciones es cierta sobre encoders?,multiple,Un encoder absoluto no permite conocer la dirección de giro.|Un encoder no permite conocer una longitud recorrida.|Algunos encoders incrementales permiten conocer la dirección de giro.|Las otras tres son falsas.,Algunos encoders incrementales permiten conocer la dirección de giro.,Los encoders incrementales con dos canales detectan dirección.
12,¿Cuántas afirmaciones son ciertas sobre un sistema SCADA?,multiple,Las tres afirmaciones.|Sólo dos.|Sólo una.|Ninguna.,Las tres afirmaciones.,"SCADA supervisa, visualiza y modifica consignas del PLC."
13,¿Qué hipótesis no se hace en el modelo de tiempo para determinar el lote crítico?,multiple,El tiempo de preparación es independiente.|Las paradas son programadas.|El tiempo de ciclo es aleatorio.|Las paradas son regulares.,El tiempo de ciclo es aleatorio.,El modelo asume tiempos deterministas.
14,Se podrá acabar antes una producción si:,multiple,Sistema flexible con pedido inferior al lote crítico.|Sistema rígido con pedido inferior al lote crítico.|Sistema flexible con pedido superior al lote crítico.|El lote crítico no afecta al tiempo.,Sistema flexible con pedido inferior al lote crítico.,La flexibilidad reduce tiempos en pedidos pequeños.
15,¿Qué elemento NO forma parte habitual de una Célula de Fabricación Flexible?,multiple,Proceso de fabricación.|Gestión del desgaste de herramientas.|Transporte entre máquinas.|Verificación de piezas.,Gestión del desgaste de herramientas.,No suele estar integrada en la célula.
16,¿Cuántas afirmaciones son ventajas de los métodos matriciales?,multiple,Tres.|Dos.|Una.|Ninguna.,Una.,Sólo permite agrupar por proceso.
17,"Respecto a la metodología SMED, ¿qué afirmación es cierta?",multiple,Siempre se aplican las tres etapas.|La etapa 2 reduce más que la etapa 1.|Se aplica a procesos muy flexibles.|Las otras son falsas.,Las otras son falsas.,Sólo algunas etapas son necesarias según el caso.
18,¿Qué elemento corresponde a la etapa 3 del SMED en una prensa?,multiple,Centradores de matrices.|Mesa inferior móvil.|Espacio para dejar la matriz.|Ninguno.,Mesa inferior móvil.,Corresponde a mejoras técnicas del proceso.
19,"Respecto a los Sistemas Integrados de Fabricación, ¿qué es cierto?",multiple,Se implantaron en los 90.|Se adaptan fácilmente a cambios no previstos.|Siempre se debe integrar todo.|Mejoran la calidad del producto.,Mejoran la calidad del producto.,La integración mejora control y calidad.
20,"Respecto a la Fábrica 4.0, ¿qué NO es cierto?",multiple,Uso intensivo de TI y sistemas ciberfísicos.|Sólo se aplica a impresión 3D.|Uso de Digital Twins.|La ciberseguridad es clave.,Sólo se aplica a impresión 3D.,Industria 4.0 es aplicable a muchos procesos.
