Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
"En una red de abastecimiento ramificada, ¿cuáles son los límites técnicos recomendados para su aplicación óptima según el texto?","Longitudes de hasta 500 m, anchos de 250 m y hasta 250 usuarios.","Longitudes de hasta 1000 m, anchos de hasta 500 m y suministro de hasta 500 usuarios.","Longitudes de hasta 1500 m, anchos de 1000 m y hasta 1000 usuarios.","No existen límites técnicos, solo se recomienda para localidades muy pequeñas con redes envejecidas.","B","El texto especifica que la red ramificada es apropiada para núcleos de estructura lineal con longitudes de hasta 1000 m, anchos de 500 m y hasta 500 usuarios.","Xarxa ramificada: apropiada per nuclis d’estructura lineal allargada amb longituds fins a 1000 m, amples de fins a 500 m i amb subministrament de fins a 500 usuaris."
"¿Cuál es la principal ventaja técnica de una red mallada en comparación con una ramificada respecto a la continuidad del servicio?","Permite diámetros menores en el inicio de la red.","La sencillez de cálculo permite reparaciones más rápidas.","Permite sectorizar mediante válvulas de paso para reparar averías sin cortar el suministro a todos los usuarios.","Garantiza que el agua siempre circule a una velocidad superior a 2 m/s.","C","La red mallada ofrece mayor seguridad de distribución porque permite sectorizar la red, de modo que el agua sigue llegando a los usuarios por caminos alternativos durante mantenimientos o averías.","Major seguretat de distribució, ja que es pot sectoritzar mitjançant vàlvules de pas (per fer manteniments, reparar avaries...i l’aigua continua arribant als usuaris)."
"En el contexto de una escomesa de compañía, ¿cuál de los siguientes se considera un inconveniente para el usuario final?","La necesidad de realizar una inversión inicial elevada.","La responsabilidad total sobre las tareas de mantenimiento de la tubería exterior.","La falta de garantía de suministro, ya que este depende exclusivamente de la compañía.","La obligación de realizar análisis diarios de potabilidad.","C","A diferencia de la escomesa privada, en la de compañía el suministro depende de la entidad proveedora y no del usuario, lo que se lista como un inconveniente.","Inconvenients: No hi ha garantia de subministrament (aquest depèn de la companyia, no de l’usuari final)."
"¿Qué elemento específico es indispensable en una escomesa de captación privada para evitar el vaciado de la tubería de aspiración?","Válvula de compuerta.","Válvula de pie.","Contador único.","Grifo de comprobación.","B","En las captaciones privadas con bomba, la válvula de pie es un elemento específico necesario para el funcionamiento del sistema de aspiración.","Elements específics per captació privada: 1. Vàlvula de peu."
"En una instalación general con contador único, ¿dónde debe situarse la 'clau de tall d'entrada'?","En el punto de conexión con la red pública (vía pública).","Justo después del filtro de sedimentos.","Dentro de la propiedad, en una zona de uso común.","En la derivación individual de cada punto de consumo.","C","La normativa o diseño técnico especifica que la llave de corte de entrada debe estar dentro de la propiedad en una zona común.","1. Clau de tall d’entrada: situada dins de la propietat, en zona d’ús comuna."
"¿Cuál es la función técnica de la 'aixeta de comprovació' en un sistema de contador único?","Permitir la purga de aire de la instalación.","Verificar in situ si el agua fluye a través del sistema.","Regular la presión de salida hacia los montantes.","Tomar muestras para el análisis de cloro libre.","B","El grifo de comprobación se utiliza específicamente para verificar de forma directa si hay paso de agua en ese punto de la instalación.","4. Aixeta de comprovació: per verificar in situ si passa aigua."
"En un sistema de contadores divisionarios, ¿qué elemento transporta el agua desde la centralización hasta cada usuario individual?","Batería de contadores.","Derivaciones colectivas.","Montantes (muntants).","Tubo de alimentación general.","C","Los montantes son las canalizaciones individuales que llevan el agua desde la batería de contadores hasta cada vivienda o local.","4. Muntants: canalitzacions individuals que porten l’aigua a cada usuari (p.ex., una per cada pis en un edifici d’habitatges)."
"¿Bajo qué condición técnica se justifica la instalación de un depósito de acumulación de AFS debido a la red de suministro?","Cuando la red pública garantiza una presión constante de 5 bar.","Cuando la presión de la red inicial es insuficiente para el funcionamiento de los equipos.","Siempre que el edificio tenga más de 10 plantas.","Únicamente si se dispone de una captación propia por pozo.","B","El depósito de acumulación aporta presión extra cuando la red de la compañía o la captación privada no alcanzan los mínimos necesarios.","Quan la pressió de la xarxa inicial (de companyia o captació privada) és insuficient -> El dipòsit aporta pressió extra"
"Para el dimensionamiento de un depósito de acumulación, ¿qué parámetro de consumo se debe utilizar según el texto?","El consumo punta de la instalación incrementado en un 10%.","El consumo medio diario del edificio incrementado en un 20%.","El caudal instantáneo mínimo de todos los aparatos sanitarios.","La suma de los caudales de las BIEs durante 60 minutos.","B","El dimensionamiento se basa en el consumo medio diario, no en el punta, añadiendo un margen de seguridad del 20%.","Dimensionat en funció del consum mig diari de l’edifici (no del consum punta), incrementat en un 20% (per garantir cobertura)."
"¿Cuál es el volumen máximo típico para un depósito de acumulación prefabricado de poliéster reforzado con fibra de vidrio destinado a ser enterrado?","Menor a 2 m3.","Menor a 100 m3.","Superior a 100 m3.","No hay límite, depende de la excavación.","B","Los depósitos prefabricados enterrados de poliéster suelen tener volúmenes inferiores a 100 m3.","Prefabricats enterrats: <100m3 Polièster reforçat amb fibra de vidre"
"¿Cuándo es estrictamente necesario instalar un grupo de presión en una red de AFS?","En todos los edificios de uso industrial.","Cuando la red pública no garantiza la presión mínima para los equipos situados aguas abajo.","Cuando se utilizan tuberías de polipropileno en lugar de cobre.","Si la velocidad del agua supera los 2 m/s en los montantes.","B","El grupo de presión es necesario si la presión de la red pública es insuficiente para el correcto funcionamiento de los aparatos del edificio.","El grup de pressió és necessari quan: La xarxa pública no garanteix la pressió mínima pel funcionament dels equips que hi ha aigües avall de l’edifici."
"¿Qué componente diferencia a un grupo de presión de caudal variable de uno convencional?","La presencia de un depósito hidroneumático de gran capacidad.","El uso de un motor eléctrico con variador de frecuencia.","La inclusión de una línea de by-pass obligatoria.","El uso exclusivo de bombas sumergibles.","B","Los grupos de caudal variable utilizan variadores de frecuencia para ajustar la respuesta de las bombas a la demanda real.","De cabal variable: grup de pressió alimentat per un motor elèctric amb variador de freqüència."
"¿Cuál es la presión máxima recomendada en cualquier punto de consumo de AFS para evitar la fatiga de materiales y ruidos?","100 kPa.","150 kPa.","500 kPa.","1000 kPa.","C","El texto establece un límite superior de 500 kPa (5 bar) para proteger la instalación.","Pressió màxima: 500 kPa = 5 bar"
"Si una instalación de AFS dispone de fluxores en lugar de cisternas, ¿cuál es la presión mínima requerida?","100 kPa.","150 kPa.","200 kPa.","50 kPa.","B","Los fluxores requieren una descarga instantánea mayor, por lo que la presión mínima sube de 1 bar a 1,5 bar.","Pressió mínima: 150 kPa = 1,5 bar (si hi ha fluxors: descàrrega instantània, no cisterna)"
"¿Cuál es el rango de velocidad del agua recomendado para limitar el ruido y las pérdidas de carga en las tuberías?","0,1 – 1 m/s.","0,5 – 2 m/s.","2,0 – 3,5 m/s.","Inferior a 0,5 m/s en todos los casos.","B","Se limita la velocidad entre 0,5 y 2 m/s para equilibrar el confort acústico y la eficiencia hidráulica.","1. Limitem velocitat per reduir soroll i pèrdua de pressió -> v [0,5 – 2 m/s]"
"¿Qué material de tubería está prohibido poner en contacto directo con el cobre debido al riesgo de corrosión galvánica?","Acero inoxidable.","Acero galvanizado.","Polietileno (PE).","Polipropileno (PP).","B","El contacto entre cobre y acero galvanizado provoca corrosión, por lo que está prohibido.","Coure: ...Pot provocar corrosió en contacte amb altres metalls -> prohibit canonades de coure en contacte amb canonades d’acer galvanitzat."
"¿Para qué diámetros se utiliza preferentemente el acero galvanizado en instalaciones de AFS?","Diámetros pequeños (menores a 1'').","Diámetros grandes (mayores a 2'').","Cualquier diámetro, siempre que sea en ejecución encastada.","Solo para conexiones finales de aparatos sanitarios.","B","El acero galvanizado se reserva generalmente para colectores o derivaciones principales de gran diámetro.","Acer galvanitzat: Utilitzat per diàmetres grans (majors a 2’’) -> generalment per col·lectors o derivacions principals."
"¿Cuál es la principal limitación técnica del Polipropileno (PP) frente al Polietileno (PE) en instalaciones de agua?","No permite el transporte de agua a presión.","No permite la ejecución enterrada (debe ser encastada).","Tiene una rugosidad mucho mayor.","No admite uniones por fusión.","B","A diferencia del PE, el PP no es apto para ser enterrado directamente.","PP: Polipropilè: Mateixes prestacions que PE però no permet execució enterrada (ha de ser encastada)."
"¿Por qué es obligatorio aislar térmicamente las tuberías de AFS en ejecución vista?","Para mantener el agua a una temperatura superior a 20ºC.","Para evitar condensaciones superficiales.","Para proteger la tubería de la radiación solar directa.","Para reducir la presión sonora en más de 20 dB.","B","El aislamiento con espuma elastomérica previene la formación de condensación en el exterior de las tuberías frías.","Totes les canonades d’execució vista s’enfunden amb espuma elastomèrica per evitar condensacions."
"¿Dónde deben colocarse los filtros de bolsas en un sistema de tratamiento de agua?","Antes de la llave de registro de la compañía.","Después de la instalación general y antes de otros sistemas de tratamiento.","En cada punto de consumo individual.","Únicamente en la aspiración de las bombas de pozo.","B","Los filtros de sedimentos (pretramiento) se instalan tras la entrada general pero antes de equipos específicos como descalcificadores.","Els filtres de bossa es col·loquen després de la instal·lació general, i abans dels sistemes de tractament."
"Según el RD 140/2003, ¿en qué caso es obligatoria la instalación de un sistema de cloración en un edificio?","En todas las viviendas unifamiliares con jardín.","En edificios de uso público con acumulación de agua en grandes depósitos por más de 48h.","Siempre que se utilicen tuberías de acero negro.","Solo si el agua proviene directamente de una ETAP.","B","La cloración es obligatoria en edificios públicos donde el agua permanece estancada en depósitos más de 48 horas para garantizar su potabilidad.","Casos d’instal·lació obligatòria (RD 140/2003...): Edificis d’ús públic quan hi ha una acumulació d’aigua en grans dipòsits, on pugui estar acumulada més de 48h"
"¿Cuál es el rango de cloro libre mínimo establecido por normativa para el agua de consumo humano?","0,1 – 0,5 mg/l.","0,2 – 1 mg/l.","1,0 – 2,0 mg/l.","No hay mínimo, solo un máximo de 5 mg/l.","B","El rango reglamentario para asegurar la desinfección es de 0,2 a 1 mg/l.","Rang de clor lliure mínim establert pel RD -> [0,2 – 1mg/l]"
"¿Qué proceso químico ocurre dentro de un descalcificador de resinas de intercambio iónico?","El cloro reacciona con el calcio para formar precipitados sólidos.","El NaCl de las resinas reacciona con los iones Ca y Mg, sustituyéndolos por Na.","Se inyecta polifosfato para recubrir las moléculas de magnesio.","Una membrana semipermeable retiene físicamente los carbonatos.","B","El descalcificador utiliza resinas cargadas con sodio (NaCl) que intercambian este ion por el calcio y magnesio del agua.","Es passa l’aigua per un dipòsit que conté resines d’intercanvi iònic (NaCl). El NaCl reacciona amb els ions Ca i Mg de l’aigua, que precipiten en forma de CaCl i MgCl. A l’aigua hi queden ions Na"
"¿Cuál es el principio de funcionamiento de la ósmosis inversa?","Aumentar la temperatura del agua para que los minerales se evaporen.","Aplicar presión sobre la región de más concentración para que solo las moléculas de menor peso pasen a través de una membrana.","Utilizar imanes permanentes para alinear los iones de calcio.","Filtrar el agua a través de lechos de arena silícea de distinto grosor.","B","La ósmosis inversa fuerza el paso del agua a través de una membrana mediante presión, reteniendo los sólidos disueltos.","Osmosi inversa: si fem pressió sobre la regió de més concentració, només les molècules de menor pes passen a l’altra costat i els sòlids dissolts queden retinguts a la membrana."
"¿Qué tipo de red de abastecimiento es más propensa a problemas de estancamiento y proliferación de Legionella en sus extremos?","Red mallada.","Red ramificada.","Red mixta.","Red de captación marina.","B","En las redes ramificadas, el agua en los ramales terminales tiene mayor tiempo de permanencia, lo que favorece el estancamiento.","Xarxa ramificada: Inconvenients: L’aigua té major temps de permanència en els extrems (als ramals terminals). Problemes manteniment, legionel·la...degut a la presència d’aigua amb poca circulació."
"En el cálculo de caudales para riego, ¿cuál es el consumo asignado a la gespa (césped)?","2 l/m2 día.","8 l/m2 día.","1 l/m2 día.","20 l/m2 día.","B","El texto asigna un valor específico de 8 litros por metro cuadrado al día para el riego de césped.","Reg: ...Gespa: 8 l/m2dia"
"¿Qué caudal mínimo debe garantizarse para un sistema de extinción de incendios con BIE de 25 mm?","1,6 l/s.","3,3 l/s.","12 l/s.","0,2 l/s.","A","Según el RIPCI citado en el texto, una BIE de 25 mm requiere un caudal de 1,6 l/s.","Extinció d’incendis (RIPCI): ...BIE 25 mm: 1,6 l/s"
"¿Cuál es el valor de la constante 'C' para el cálculo de pérdidas de carga en tuberías de cobre?","100.","120.","130.","140.","D","La constante 'C' depende del material; para el cobre, el valor es 140.","C: constant en funció del tipus de canonada: ...coure 140"
"¿Qué uso principal tiene el acero negro en las instalaciones descritas?","Transporte de agua potable en viviendas.","Usos no sanitarios como redes contra incendios o calefacción.","Redes de agua purificada por ósmosis.","Tuberías enterradas en contacto con el terreno.","B","El acero negro no se utiliza para agua sanitaria (potable) sino para sistemas industriales o de protección.","Acer negre: Per usos no sanitaris -> Reg, contra incendis, neteja, calefacció."
"En una red de contadores divisionarios, ¿qué función cumple la 'bateria de comptadors'?","Almacenar agua para casos de emergencia.","Actuar como conducto distribuidor del agua de entrada hacia todos los contadores individuales.","Filtrar las partículas finas antes de la facturación.","Regular la presión de forma independiente para cada piso.","B","La batería es el colector común que alimenta a los distintos contadores de los usuarios.","2. Bateria de comptadors: conducte distribuïdor de l’aigua d’entrada cap a tots els comptadors."
"¿Cuál es el tiempo estimado para reparar una avería que se utiliza para dimensionar la autonomía de un depósito de acumulación?","12-24 horas.","24-48 horas.","72 horas.","Una semana.","B","Se dimensiona el depósito para cubrir entre 24 y 48 horas de suministro ininterrumpido.","Garantir subministrament per 24-48 hores (temps estimat per reparar una avaria)."
"¿Qué material se utiliza típicamente para depósitos prefabricados de superficie de pequeño volumen (<2 m3)?","Hormigón in situ.","Plástico o acero inoxidable.","Poliéster reforzado con fibra de vidrio.","Acero negro con recubrimiento de plomo.","B","Para volúmenes pequeños en superficie, se emplean materiales ligeros o resistentes a la corrosión como el plástico o el acero inoxidable.","Prefabricats superfície: <2m3 Plàstic o acer inoxidable. Volums petits."
"¿Qué elemento es obligatorio instalar en un grupo de presión para permitir reparaciones sin interrumpir totalmente el suministro (aunque sea a presión de red)?","Válvula de pie.","Línea de by-pass.","Variador de frecuencia.","Depósito hidroneumático.","B","La línea de by-pass permite puentear el grupo de presión durante tareas de mantenimiento.","Ha de disposar d’una línia de by-pass per garantir el subministrament d’aigua si cal fer manteniment/reparacions al brancal principal."
"En el procedimiento para garantizar caudal y presión, ¿cuál es el primer paso técnico a realizar?","Calcular las pérdidas de carga totales.","Limitar la velocidad para reducir ruidos y pérdidas.","Escoger un diámetro comercial al azar.","Instalar un descalcificador.","B","El diseño comienza estableciendo límites de velocidad para asegurar el confort y la eficiencia.","1. Limitem velocitat per reduir soroll i pèrdua de pressió -> v [0,5 – 2 m/s]"
"¿Cuál es el caudal instantáneo mínimo asignado a un inodoro con fluxor?","0,10 dm3/s.","1,25 dm3/s.","0,05 dm3/s.","0,60 dm3/s.","B","Los inodoros con fluxor tienen el caudal instantáneo más alto de la tabla de aparatos sanitarios.","Tabla: Inodoro con fluxor -> 1,25 [dm3/s]"
"¿Qué sucede si la presión en un punto de la red de AFS supera los 500 kPa?","Se activa automáticamente la cloración.","Puede ocasionar exceso de consumo, fatiga de materiales, ruidos y vibraciones.","El agua deja de ser potable según el RD 140/2003.","Es necesario cambiar todas las tuberías a acero inoxidable.","B","El exceso de presión es perjudicial para la durabilidad y el confort de la instalación.","Un excés de pressió pot ocasionar: Excés de consum d’aigua, Fatiga dels materials (menor vida útil), Soroll, vibracions"
"¿Qué constante 'C' se aplica a una tubería de fibra de vidrio?","120.","130.","140.","100.","C","La fibra de vidrio tiene una rugosidad baja, similar al cobre, con una constante de 140.","C: constant en funció del tipus de canonada: ...fibra de vidre 140"
"¿Cuál es la función del 'dipòsit hidropneumàtic' en un grupo de presión convencional?","Almacenar agua para incendios.","Mantener la presión en las tuberías y reducir el número de arranques de las bombas.","Clorar el agua antes de su distribución.","Eliminar el calcio y el magnesio por presión.","B","El depósito hidroneumático actúa como un pulmón que mantiene la presión estable en la red.","Convencional: format per... un dipòsit hidropneumàtic per mantenir la pressió a les canonades."
"En una escomesa, ¿qué elemento enlaza la 'clau de tall general' con la 'clau de pas' propia del edificio?","Derivación de la compañía.","Tubo de escomesa.","Batería de contadores.","Montante principal.","B","El tubo de escomesa es el tramo físico que conecta la red exterior con la instalación interior del edificio.","3. Tub d’escomesa, que enllaça la clau de tall general amb la clau de pas pròpia de l’edifici."
"¿Qué ventaja técnica ofrece el acero inoxidable en redes de AFS?","Es el material más económico del mercado.","Es muy resistente y apto para redes de agua purificada (ósmosis).","No requiere aislamiento térmico.","Se puede unir fácilmente a tuberías de plomo.","B","Su alta resistencia y pureza lo hacen ideal para aplicaciones críticas o aguas tratadas.","Acer inoxidable: ...per xarxes d’aigua purificada (osmosi inversa). Molt resistent i molt car."
"¿Cuál es la principal aplicación del Polietileno (PE) en instalaciones de agua sanitaria?","Conexiones finales de grifos en baños.","Transport de agua a presión en diámetros grandes y redes enterradas.","Tuberías de calefacción por radiadores.","Solo para evacuación de aguas pluviales.","B","El PE es muy utilizado para acometidas y redes principales enterradas por su flexibilidad y resistencia.","PE: Polietilè: Usos sanitaris amb diàmetres grans, permet transport d’aigua a pressió. ...Instal·lació enterrades en rases."
"¿Qué elemento del sistema de cloración se encarga de inyectar el desinfectante en el depósito?","Bomba de recirculación.","Bomba dosificadora.","Analizador de cloro libre.","Válvula de pie.","B","La bomba dosificadora inyecta la cantidad precisa de cloro desde un depósito específico según la lectura de los analizadores.","...aquest s’injecta amb una bomba des d’un dipòsit específic. (Imagen: BOMBA DOSIFICADORA)"
"¿Cuál es el objetivo principal del tratamiento de descalcificación?","Eliminar el sabor a cloro del agua.","Eliminar el calcio y magnesio disueltos para evitar incrustaciones.","Aumentar la presión de salida en los grifos.","Eliminar bacterias como la Legionella.","B","La descalcificación previene que los minerales precipiten y obstruyan las tuberías, especialmente en agua caliente.","Tractament per eliminar el calci i magnesi dissolts en l’aigua d’entrada. ...Els precipitats (sals, carbonats) s’adhereixen i acaben obstruint les conduccions"
"¿En qué punto de la instalación se debe instalar el sistema de descalcificación?","Antes del contador general.","Justo antes de las derivaciones de la red de AFS, tras el filtro de bolsas y la cloración.","En la entrada de cada aparato sanitario.","En el retorno de la red de agua caliente.","B","El descalcificador se sitúa después de los tratamientos previos pero antes de que el agua se distribuya por el edificio.","El sistema s’instal·la passat el filtre de bosses i la cloració (si n’hi ha), just abans de les derivacions de la xarxa de AFS."
"¿Qué tipo de uso del agua se define como 'incorporado al producto' en industrias alimentarias o farmacéuticas?","Agua sanitaria.","Agua de proceso.","Agua de limpieza.","Agua de refrigeración.","B","El agua de proceso es aquella que forma parte de la composición del producto final industrial.","Aigua de procés: normalment incorporat al producte (alimentària, farmàcia, químic, etc.) -> ús industrial"
"¿Qué requisito de calidad debe cumplir el agua para uso sanitario según el texto?","Reglamento de Instalaciones de Protección Contra Incendios (RIPCI).","RD 140/2003 de la calidad de las aguas para consumo humano.","CTE-DB-HS4.","Normativa específica de cada municipio.","B","El RD 140/2003 es la norma marco que define la potabilidad y calidad del agua sanitaria.","Qualitat: Sanitària: RD 140/2003 de la calidad de las aguas para consumo humano."
