Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
"¿A partir de qué año será obligatoria la implantación de sistemas integrados de gestión de edificios en toda la Unión Europea?","2023","2025","2030","2024","B","El texto indica explícitamente que estos sistemas pasarán a ser obligatorios en la Unión Europea a partir del año 2025.","Aquests sistemes venen per quedar-se, passant a ser obligatòria la seva implantació a partir del 2025, almenys, a tota la Unió Europea."
"Según el documento, ¿cuál es la definición técnica de un sistema SCADA?","Una tecnología de hardware específica para el control de edificios.","Un protocolo de comunicación abierto para domótica.","Un tipo de aplicación que obtiene datos operativos para controlar y optimizar un sistema.","Un software exclusivo para la gestión de la eficiencia energética en la industria 4.0.","C","El texto aclara que SCADA no es una tecnología concreta, sino un tipo de aplicación destinada a la obtención de datos operativos para el control y optimización.","No és una tecnologia concreta sinó un tipus daplicació. Qualsevol aplicació que obtingui dades operatives sobre un “sistema” per tal de controlar i optimitzar aquest sistema és una aplicació SCADA."
"En un sistema de control digital directo (DDC), ¿cuál es la función principal del controlador respecto a las señales?","Actuar como interfaz gráfica para el usuario final.","Gestionar exclusivamente los datos históricos y las alarmas.","Traducir señales de sensores a formato digital y procesarlas mediante estrategias como PID o PI.","Suministrar información directamente a aplicaciones de terceros sin pasar por el servidor.","C","El controlador DDC procesa las señales de los sensores traduciéndolas a digital y aplicando estrategias de cálculo como PID o PI.","Un controlador (DDC) és un processador que llegeix els senyals enviats per un conjunt de sensors. Aquests senyals són traduïts a format digital i processats basant-se en una estratègia de control (PID, PI o altres)."
"Respecto al 'Lloc central' en un sistema DDC, ¿cuál de las siguientes afirmaciones es correcta según el texto?","Tiene la responsabilidad directa del control de los sistemas de campo.","Es la interfaz de acceso para los usuarios y no tiene responsabilidad directa en el control.","Sustituye la necesidad de controladores locales en zonas remotas.","Se encarga únicamente de la traducción de señales analógicas a digitales.","B","El lugar central actúa como interfaz para el usuario y gestión de datos, pero delega la responsabilidad del control en los controladores.","Es la interfície (porta d'accés) dels usuaris al sistema, no té responsabilitat directa en el control dels sistemes (ho fan els controladors)."
"¿Qué característica técnica define al sistema LONWorks en cuanto a su infraestructura física?","Utiliza una red inalámbrica de largo alcance.","Requiere obligatoriamente fibra óptica para la conexión de sondas.","Utiliza un bus de 2 hilos y requiere repetidores si las redes son muy largas.","Se basa exclusivamente en el protocolo TCP/IP para el nivel de campo.","C","LONWorks se caracteriza por usar un bus de 2 hilos y la necesidad de repetidores para compensar la longitud de la red.","LONWorks és un sistema estàndard obert sota llicència (Echelon corporation), que utilitza un bus de 2 fils. ... Necessita de repetidors si les xarxes tenen molta longitud."
"¿Cuál es la norma europea armonizada que rige el sistema KONNEX (KNX)?","EN-50090","ISO-9001","EN-2025","ASHRAE-135","A","El texto identifica específicamente la norma EN-50090 para los sistemas electrónicos en edificios basados en KNX.","KONNEX (KNX). La Norma Europea Harmonitzada, EN-50090 per a sistemes electrònics en edificis, es basa en solucions de tecnologia KNX-EIB."
"¿Qué porcentaje de reducción en el consumo de energía se puede alcanzar mediante la implantación de un sistema integrado de gestión de edificios?","Hasta un 15%","Exactamente un 50%","Hasta un 30%","Entre un 5% y un 10%","C","El documento menciona que estos sistemas permiten reducir el consumo energético hasta en un 30%.","Gràcies a tenir implantats aquests sistemes de gestió, s'aconsegueix reduir fins a un 30% el consum d'energia i augmentar la sostenibilitat."
"En el contexto de la eficiencia energética, ¿qué implica el concepto de 'mantenir el mateix rendiment'?","Reducir las prestaciones para ahorrar energía.","Incorporar modelos de gestión sostenibles e innovación sin perder confort ni prestaciones.","Aumentar la producción independientemente del consumo energético.","Eliminar el uso de combustibles fósiles de forma inmediata.","B","La eficiencia busca mantener el rendimiento y confort mediante gestión sostenible e innovación tecnológica.","Amb l'eficiència energètica intentem per tant mantenir el mateix rendiment de la nostra activitat, però incorporant una sèrie de models de gestió sostenibles, hàbits responsables i inversions en innovació tecnològica."
"¿Cuál es la principal diferencia entre un sistema de comunicación cerrado y uno abierto?","El sistema cerrado es gratuito y el abierto tiene costes de licencia.","El sistema abierto requiere gateways para traducir protocolos y el cerrado no.","El sistema cerrado no es compatible con otros fabricantes y requiere interfaces o gateways para la integración.","El sistema abierto solo funciona con un fabricante determinado.","C","Los sistemas cerrados o propietarios son de un fabricante específico y necesitan elementos adicionales (gateways) para comunicarse con otros.","Un sistema de comunicació tancat o propietari és d'un fabricant determinat no compatible amb d'altres. La integració amb altres sistemes que hi pugui haver en una instal·lació es realitza mitjançant interfaces o gateways."
"¿Qué organización creó el protocolo BACnet y cuál es su característica de implantación?","Echelon Corporation; requiere licencia de uso.","ASHRAE; es un estándar abierto no propietario de implantación libre.","Microsoft; está integrado con SQL Server.","La Unión Europea; es obligatorio desde 2020.","B","BACnet fue creado por ASHRAE y se define como un protocolo estándar abierto y no propietario.","BACnet és un protocol estàndard obert no propietari i, per tant, d'implantació lliure. Va ser creat per ASHRAE i està dissenyat específicament per al control i automatització d'edificis."
"Dentro de los objetivos de un sistema de control, ¿qué diferencia al 'control operatiu' del 'control de seguretat'?","El operativo gestiona la iluminación y el de seguridad los incendios.","El operativo busca mantener condiciones de diseño y minimizar costes; el de seguridad evita daños a instalaciones y personas.","El operativo es manual y el de seguridad es automático.","No hay diferencia, son términos sinónimos según el texto.","B","El texto divide las funciones en control operativo (eficiencia y diseño) y control de seguridad (protección).","Els sistemes de control que satisfan aquestes tres funcions s'anomenen sistemes de control operatiu. ... Un equip de control ha de mantenir un nivell de seguretat a fi d'evitar danys a les instal·lacions i persones. Aquest tipus de control s'anomena control de seguretat."
"¿Cuál es el protocolo más extendido en los niveles de supervisión de edificios?","Modbus","KNX","TCP/IP","Lontalk","C","El texto señala que TCP/IP es el protocolo más extendido a nivel de los lugares de supervisión.","TCP/IP ... És el protocol mes estès a nivell dels llocs de supervisió."
"En la gestión de instalaciones mediante iBMS, ¿qué se menciona sobre el término 'iBMS' en la actualidad?","Es el estándar de oro que todos los edificios deben seguir.","Ha quedado en desuso y ahora se utiliza generalmente el término 'BMS'.","Solo se aplica a sistemas de transporte como ascensores.","Es un término exclusivo para la gestión de bases de datos SQL.","B","El documento indica que el término iBMS (Integrated BMS) ha caído en desuso frente al término BMS a secas.","(no obstant avui en dia este terme ja ha quedat en desús i ara tot es BMS a seques)"
"¿Qué tipo de dispositivos se mencionan como ejemplos de uso habitual del protocolo Modbus?","Servidores de bases de datos SQL.","Variadores de frecuencia y analizadores de redes.","Sistemas de videovigilancia CCTV.","Interfaces de usuario para Web Server.","B","Modbus se utiliza habitualmente para conectar equipos individuales a nivel industrial como variadores y analizadores.","Modbus és un protocol força estès a nivell industrial; l'utilitzen habitualment equips individuals com a variadors de freqüència, analitzadors de xarxes."
"¿Cuál es una de las funciones críticas que debe incluir el software del 'Lloc central'?","Control directo de los actuadores de compuerta.","Traducción física de señales de 4-20mA.","Disposición de drivers de comunicación con los controladores.","Sustitución de los protocolos de campo por señales analógicas.","C","Entre los requisitos del software del lugar central está el disponer de los drivers necesarios para comunicarse con los controladores.","El software ha d'incloure els requisits següents: ... Disposició dels drivers de comunicació amb els controladors."
