Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
"¿Cuál es la consecuencia directa de que una instalación eléctrica sea considerada 'crítica' según el texto?","Requiere obligatoriamente un transformador de media tensión.","Sin electricidad, el edificio no puede funcionar.","Debe cumplir exclusivamente con las instrucciones de la compañía.","Solo puede utilizar conductores de cobre.","B","El texto define una instalación crítica como aquella en la que el edificio no puede funcionar si no hay suministro eléctrico.","És una instal·lació crítica  sense electricitat, l’edifici NO pot funcionar"
"¿Qué normativa se encarga de definir cómo debe ser la instalación interior de un edificio para garantizar la seguridad?","Las instrucciones de la compañía eléctrica.","La normativa municipal de incendios.","El Reglamento Electrotécnico para Baja Tensión (REBT).","La norma ITC-BT-13 exclusivamente.","C","El REBT tiene un fuerte componente de seguridad y dicta las pautas para la instalación interior.","REBT: Fort component de seguretat. Ens diu com ha de ser la instal·lació interior"
"¿En qué caso la compañía eléctrica (CIA) puede obligar a un usuario de BT a ceder espacio para un Centro de Transformación (CT)?","Si la potencia del edificio es superior a 100 kW.","Si el edificio tiene más de 10 plantas.","Siempre que se contrate suministro en media tensión.","Solo en edificios de pública concurrencia.","A","La CIA tiene la potestad de obligar a instalar un CT en espacios del usuario si la potencia supera los 100 kW.","Si Potència edifici > 100 kW  CIA pot obligar a instal·lar CT"
"¿Cuál es la principal ventaja económica de contratar el suministro eléctrico en Media Tensión (MT) en lugar de Baja Tensión (BT)?","No requiere mantenimiento de equipos.","La energía comprada es más barata.","Se elimina la necesidad de espacio para transformadores.","No requiere inversión inicial en infraestructura.","B","Aunque requiere inversión en un transformador, el coste de la energía en MT es inferior al de BT.","L’energia comprada en MT és més barata"
"¿Qué caracteriza a un Centro de Transformación 'd'abonat' en comparación con uno 'de companyia'?","Es propiedad de la CIA y alimenta a varios edificios.","Alimenta en BT la propia instalación del abonado que contrata en MT.","No requiere un centro de seccionamiento y medida.","Solo puede ubicarse en la intemperie.","B","Los CT de abonado son para aquellos que contratan en MT para alimentar su propia instalación en BT.","CT propis dels abonats que contracten el subministrament en MT. Des del CT l’abonat alimenta en BT la seva pròpia instal·lació."
"Según el criterio general de selección, ¿cuándo es obligatorio el uso de MT y un CT de abonado?","Cuando la potencia del edificio es inferior a 400 kW.","Cuando la potencia del edificio es superior a 400 kW.","Solo en hospitales e industrias, independientemente de la potencia.","Cuando hay más de 50 usuarios en el edificio.","B","El umbral de 400 kW determina la obligatoriedad de pasar a MT con centro de transformación propio.","Si Pedifici > 400kW  MT + CT d’abonat"
"¿Qué elemento marca el límite de propiedad de la instalación entre la compañía eléctrica y los usuarios?","La Línea General de Alimentación (LGA).","La Caja General de Protección (CGP).","El Interruptor General Automático (IGA).","El equipo de medida centralizado.","B","La CGP es el punto físico que delimita la propiedad y responsabilidad entre la distribuidora y el cliente.","Caixa general de protecció (CGP): Marquen el límit de propietat de la instal·lació entre la companyia i els usuaris"
"¿En qué tipo de suministro NO existe la Línea General de Alimentación (LGA)?","En suministros de pública concurrencia.","En suministros a un único usuario.","En edificios con centralización de contadores.","En instalaciones industriales de gran potencia.","B","En suministros individuales, la CGP y el contador se engloban en la CPM, eliminando la necesidad de LGA.","En el primer cas (un sol usuari), no existeix LGA ni IG, i la CGP+comptadors s’engloben en la caixa de protecció i mesura (CPM)"
"¿Cuál es el nivel de aislamiento requerido para los conductores de una Línea General de Alimentación (LGA)?","450/750V.","0,6/1kV (1000V).","25kV.","Solo aislamiento de PVC sin tensión especificada.","B","Los conductores de la LGA deben tener un nivel de aislamiento de 1000V.","LGA: Nivell d’aïllament 0,6/1kV (1000V)."
"¿Cuál es la caída de tensión porcentual máxima permitida por el REBT para la Línea General de Alimentación (LGA)?","1%.","1,5%.","0,5%.","3%.","C","La normativa limita la pérdida de tensión en la LGA a un máximo del 0,5%.","La caiguda de tensió percentual màxima que pot tenir la LGA és del 0,5%"
"¿Qué sección mínima debe tener un conductor de cobre en una Línea General de Alimentación (LGA)?","6 mm².","10 mm².","16 mm².","50 mm².","B","El texto especifica secciones mínimas según el material: 10mm2 para cobre y 16mm2 para aluminio.","Secció mínima del conductor 10mm2 per el Cu, i 16mm2 per l’Al."
