Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
"¿Cómo se define técnicamente la vida útil de una fuente luminosa según los parámetros luminotécnicos del texto?","El tiempo total hasta que la lámpara deja de emitir luz por completo.","El número de horas de funcionamiento antes de que el flujo luminoso disminuya un 30%.","El periodo de garantía ofrecido por el fabricante antes de fallos eléctricos.","El tiempo necesario para que la temperatura de color varíe más de 500K.","B","La vida útil no se refiere al fundido de la lámpara, sino a una depreciación del flujo luminoso del 30%.","Nombre d’hores de funcionament abans de patir una depreciació lluminosa (disminució del flux lluminós emès per la làmpada) del 30%."
"¿Bajo qué condición específica de tensión entra en funcionamiento el alumbrado de seguridad?","Cuando la tensión baja del 50% de la nominal.","Cuando la tensión baja del 90% de la nominal.","Cuando la tensión baja del 70% de la nominal.","Únicamente ante un corte total de suministro eléctrico.","C","El alumbrado de seguridad se activa automáticamente ante fallos generales o caídas de tensión por debajo del 70%.","entra en funcionament automàticament quan es produeix una fallada de l’enllumenat general o quan la tensió d’aquest baixi un 70% de la nominal."
"En el cálculo del Valor de Eficiencia Energética de la Instalación (VEEI), ¿qué representa la variable 'Em'?","La potencia máxima de la lámpara en vatios.","La iluminancia media horizontal mantenida en lux.","El flujo luminoso total emitido por la luminaria.","La superficie iluminada en metros cuadrados.","B","En la fórmula VEEI = 100 * P / (S * Em), Em es la iluminancia media horizontal mantenida.","Em es la iluminancia media horizontal mantenida [lux]."
"Según el texto, ¿qué relación general existe entre el Índice de Reproducción Cromática (IRC) y el rendimiento luminoso?","A mayor IRC, mayor rendimiento luminoso.","No existe relación técnica entre ambos parámetros.","Normalmente, a mayor IRC menor rendimiento luminoso.","El rendimiento luminoso es independiente del espectro de emisión.","C","Existe un compromiso técnico donde una mayor calidad de reproducción de color suele implicar una menor eficiencia en el flujo.","Normalment, a major IRC menor rendiment lluminós té la làmpada."
"¿Cuál es el nivel de iluminancia mínimo requerido por el alumbrado de evacuación en los puntos donde se ubican los cuadros de distribución?","1 lux a nivel del suelo.","15 lux en la zona ocupada.","0,5 lux a un metro de altura.","5 lux en los lugares con cuadros de alumbrado.","D","Mientras que las rutas de evacuación requieren 1 lux, los puntos críticos como cuadros eléctricos requieren 5 lux.","subministra 1 lux a nivell de terra en les rutes d’evacuació i 5 lux en els llocs on estiguin instal·lats els quadres d’enllumenat"
"Para el diseño de oficinas con falsos techos de 2,8 a 3 metros, ¿qué sistema de iluminación se recomienda específicamente?","Proyectores de alta intensidad.","Pantallas empotradas siguiendo una disposición regular.","Regletas estancas en filas continuas.","Downlights de baja potencia suspendidos.","B","En oficinas con estas alturas estándar y falso techo, se opta por pantallas empotradas para una distribución uniforme.","En aquestes condicions es recomana un sistema d’il·luminació amb pantalles encastades en el fals sostre, seguint una disposició regular."
"¿Qué requisito establece el CTE para las luminarias situadas a menos de 5 metros de una ventana lateral?","Deben ser de tipo LED obligatoriamente.","Deben tener un IRC superior a 90.","Deben poder regularse para desconectarse si hay suficiente luz natural.","Deben estar conectadas al circuito de emergencia.","C","El CTE exige el aprovechamiento de la luz natural mediante la regulación de las luminarias próximas a ventanas.","les lluminàries que es troben a menys de 5 metres de les finestres s’han de regular, de manera que la primera pugui desconnectar-se quan hi hagi prou il·luminació natural."
"¿Cuál es el valor de iluminancia mínima (lux) requerido para trabajos con requerimientos visuales especiales según la tabla de diseño?","500 lux.","750 lux.","1000 lux.","2000 lux.","C","La tabla especifica que para requerimientos especiales el mínimo es 1000 lux, con un óptimo de 1500 y máximo de 2000.","Trabajos con requerimientos visuales especiales | Mínimo (LUX): 1000"
"¿Qué parámetro mide la 'brillantez' de las fuentes de luz tal y como las percibe el ojo humano?","Iluminancia (E).","Luminancia (L).","Flujo luminoso (F).","Intensidad luminosa (I).","B","La luminancia es la magnitud que detecta el ojo y depende de la reflexión de los materiales.","L: Luminància | És la magnitud que l’ull pot detectar; mesura la brillantor de les fonts de llum o els objectes tal i com els veu l’ull humà."
"En el diseño de naves industriales, ¿a partir de qué altura de montaje se prefiere el uso de proyectores o campanas en lugar de regletas?","Superior a 3 metros.","Superior a 4 metros.","Superior a 5 metros.","Superior a 6 metros.","C","Para alturas bajas (<5m) se usan regletas; para alturas mayores, se requieren sistemas de mayor concentración como campanas.","Si l’alçada de muntatge és superior a 5 metres, és preferible un sistema d’il·luminació realitzat a partir de projectors o campanes."
"¿Cuál es el factor de uniformidad media mínimo exigido por el CTE DB SUA4 para instalaciones de iluminación?","30%.","40%.","60%.","80%.","B","El CTE DB SUA4 establece un mínimo de uniformidad del 40% para garantizar la seguridad frente a riesgos.","CTE DB SUA4 | Factor d’uniformitat mitja mínim del 40%."
"¿Qué valor de VEEI límite establece el CTE DB HE3 para una sala de diagnóstico en un hospital?","3,0.","3,5.","4,0.","8,0.","B","Según la Tabla 3.1 - HE3, las salas de diagnóstico tienen un límite de 3,5.","Salas de diagnóstico (1) | VEEI límite: 3,5"
"¿Cuál es la iluminancia mínima requerida para el alumbrado de zonas de alto riesgo?","1 lux.","5 lux.","15 lux.","20 lux.","C","Las zonas con actividades peligrosas requieren un nivel superior de emergencia, fijado en 15 lux.","Enllumenat de zones d’alt risc: subministra 15 lux en les zones ocupades per persones en activitats potencialment perilloses."
"¿Qué tipo de lámpara de descarga se clasifica específicamente como de 'baja presión' en el texto?","Vapor de mercurio a alta presión.","Halogenuros metálicos.","Vapor de sodio de baja presión.","Vapor de sodio a alta presión.","C","El texto distingue entre baja presión (fluorescentes, sodio baja presión) y alta presión (mercurio, halogenuros, sodio alta presión).","Descàrrega de baixa pressió: - Fluorescents. - Fluorescents compactes. - Vapor de sodi de baixa pressió."
"¿Cuál es la temperatura de color (Tc) aproximada de la luz natural del sol en el horizonte?","5800K.","5000K.","3300K.","2000K.","D","La luz en el horizonte es mucho más cálida (rojiza) que en el cenit.","Llum natural: sol en l’horitzó Tc = 2000K"
"¿Qué dispositivo de control se define como un regulador manual de la intensidad luminosa?","Interruptor crepuscular.","Dimmer.","Detector de presencia.","Pulsador temporizado.","B","El dimmer permite al usuario ajustar manualmente el nivel de luz.","Dimmer: regulador manual de la intensitat lluminosa d’una làmpada."
