Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
En un hotel instal·lem 40 captadors solars de buit fotovoltaics per a la generació d'ACS i podem afirmar que:,"La superfície de captació mínima no anirà en funció de les característiques del captador, inclinació, orientació i volum d'acumulació",Els orientarem al nord i amb una inclinació similar a la la titud ja que ha de donar servei tot l'any,Haurem de posar una caldera de recolzament per donar suport a als captadors en cas de necessitat,Cap de les anteriors,C,En una instalación solar para ACS es imprescindible disponer de un sistema de apoyo (caldera u otra fuente convencional) porque la aportación solar varía con la radiación y puede no cubrir la demanda en determinados momentos; el apoyo garantiza el servicio.,Examens_finals_installacions_ENUNCIATS.pdf p.1
Els problemes de sifonatge en les instal·lacions de sanejament venen donats per (indica la resposta correcta):,"Sifonatge per aspiració: L'acumulació de descàrregues en un baixant augmenta el cabal, que pot omplir totalment la secció de la canonada formant un pistó hidràulic que comprimeix l'aire situat en la part inferior del baixant. Aquest empeny l'aigua dels sifons dels aparells sanitaris de les plantes més baixes trencant el tancament hidràulic",Sifonatge per compressió: Pistó hidràulic arriba al baixant i crea darrera seu una depressió absorbint l'aigua dels sifons,"Auto sifonatge: Quan la derivació és molt llarga i de poca secció, l'abocament abans de passar al baixant pot omplir completament la canonada de la derivació produint una aspiració que absorbeix també la última part de la descàrrega",Totes les afirmacions anteriors són correctes,C,"Les definicions correctes distingeixen entre sifonatge per aspiració (depresión que succiona el agua del sifón) y por compresión (sobrepresión que expulsa el cierre hidráulico). En las opciones, a y b tienen el fenómeno descrito pero con el nombre intercambiado, mientras que l’auto-sifonatge (c) está correctament descrit.",Examens_finals_installacions_ENUNCIATS.pdf p.2
Indica la resposta incorrecta respecte a la xarxa de fontaneria d'aigua potable freda d'un edifici:,Una xarxa ramif cada és apropiada per a nuclis d'estructura lineal allargada amb longituds de fins a 1000m,Una xarxa mallada subministra aigua entre 500 i 1500 edificis,Un avantatge de la xarxa mixta és la seva facilitat de càlcul,La xarxa mallada té una major seguretat en la distribució ja que es pot sectoritzar mitjançant vàlvules de pas,C,"Una xarxa mixta (combinació de ramificada i mallada) no destaca per la facilitat de càlcul; de fet, és més complexa que una ramificada. Per això l’afirmació (c) és la incorrecta.",Examens_finals_installacions_ENUNCIATS.pdf p.4
Marca la afirmación incorrecta respecto a las acometidas e instalaciones de enlace de BT,La responsabilidad del cliente sobre la instalación empieza en los bornes de la CGP,El ICP solamente tiene la función de limitar la potencia de la instalación del abonada,La Dl conecta el ICP con el elemento de ubicación de cantadores,La acometida incluye la línea general de alimentación,D,"En BT, l’acometida és la connexió entre la xarxa de distribució i la CGP. La LGA (línia general d’alimentació) forma part de les instal·lacions d’enllaç dins de l’edifici, no de l’acometida. Per això (d) és incorrecta.",Examens_finals_installacions_ENUNCIATS.pdf p.5
"Respecte als materials utilitzats en la distribució d'aigua, indica la resposta correcta:","L'acer ino xidable s'utilitza en execució vista, és molt resistent i molt car. S'utilitza en connexions d'elements terminals i per diàmetres petits",El coure es pot utilitzar per usos no sanitaris amb execució vista normal. Pot estar en contacte amb altres metalls sense risc de corrosió dels materials en contacte,El polietilè es pot utilitzar per usos sanitaris i té les mateixes aplicacions que el coure amb l'excepció que no es pot soterrar,"El polipropilè té les mateixes prestacions que el polietilè però no es pot soterra r, s'utilitza normalment per canal itzacions de mitja pressió i admeten gran varietat de sistemes d'unió",A,"L’acer inoxidable és habitual en trams vistos i en connexions a elements terminals: és molt resistent i car, i s’empra sobretot en diàmetres petits. Les altres opcions contenen afirmacions incorrectes (corrosió del coure en contacte, possibilitat d’enterrar PE/PP, etc.).",Examens_finals_installacions_ENUNCIATS.pdf p.6
"El gràfic mostra un sistema d’abastament controlat per la pressió d’impulsió (sensor P1). Si la bomba Jockey arrenca i para cada pocs minuts, pot ser indicació de:",Pot ser indicació d'un baix nivell de gasoil de l'altre bomba,La membrana de l'acumulador hidropneumàtic s'ha trencat,Hi ha una fuita d'aigua en el sistema d'abastament,La b i la c són correctes RESPOSTA EN BLANC,D,Una Jockey que cicla sovint indica petites pèrdues de pressió: pot ser per fuita a la xarxa o perquè l’acumulador hidropneumàtic ha perdut el coixí d’aire (membrana trencada). Un baix nivell de gasoil no explica aquest comportament de pressió.,Examens_finals_installacions_ENUNCIATS.pdf p.7
"Respecte a la descalcificació d'un tractament d'aigua, indica la resposta incorrecta:",L'aigua conté productes mineral s dissolts {calci i magnesi) que poden precipitar si es sotmeten a temperatura elevada,En aigües dures i canonades que van al sistema d'aigu a calenta o vapor és necessari instal·lar un descalcif cador,"L'aigua es passa per un dipòsit que conté resines d'intercanvi iònic {NaCI). La sal reacciona amb els ions Ca i Mg de l'aigua, es produeix un intercanvi i en la sal es precipiten CaCI i MgCI",Cap de les anteriors és correcta,C,"En un descalcificador per resines d’intercanvi iònic, el Ca²⁺/Mg²⁺ de l’aigua s’intercanvia per Na⁺ de la resina. No es produeix una ‘precipitació’ de CaCl/MgCl dins la sal; durant la regeneració es forma salmorra rica en CaCl₂/MgCl₂ que s’evacua al desguàs. Per tant (c) és la incorrecta.",Examens_finals_installacions_ENUNCIATS.pdf p.9
En quant a la legionel·la és fals que:,"És un v irus que es reprodueix en medi aquàtic i infec ta als humans a través de les vies respiratòries \"" Marca a pregunta",És perillós on l'aigua passa d'estat líquid a estat gasós,Es reprodueix a 30ºC i mor a SOºC,"És una malaltia de declaració obligatòria que s'associa habitualment a casos o brots re acionats amb torres de refrigeració, aigua ca enta sanitàr a, banyeres d'hidromassatge, fonts ornamentals, etc.",A,La legionel·la no és un virus; és un bacteri (Legionella pneumophila). La transmissió típica és per inhalació d’aerosols d’aigua. Per això l’opció (a) és la falsa.,Examens_finals_installacions_ENUNCIATS.pdf p.10
De la següent imatge podem afirmar:,És el típic esquema d'una instal·lació de captació privada O,La instal·lació no disposa de clau de registre O,"S'han de mirar molt bé les c aracterístiques de la bomba, en especial l'alçada d'aspiració O",Cap de les anteriors 0 e. RESPOSTA EN BLANC,D,"L’esquema mostra una escomesa típica de xarxa (arqueta, clau de registre, comptador i clau de pas). Per tant no és una captació privada (a) ni manca clau de registre (b), i tampoc s’hi infereix cap bomba a verificar (c). La correcta és ‘cap de les anteriors’.",Examens_finals_installacions_ENUNCIATS.pdf p.13
"Respecte als sistemes de protecció activa contra incendis d'un edifici, quina de les següents af rmacions és incorrecta: O",Qualsevol edifici tindrà com a mínim extintors manuals i enllumenat d'emergèn cia O,Les boques d'incendi d'un edifici que es troba dins de l'àmbit d'aplicació del CTE DB SI seran de 25mm O,La distribució dels detectors de fums és independent de l'alçada a la que estan col·locats O,La columna seca està prevista per ser utilitzada pels bombers Ü e. RESPOSTA EN BLANC,C,"La disposició dels detectors de fum depèn, entre altres factors, de l’altura del sostre i de la tecnologia emprada (cobertures i separacions varien amb l’alçada). Per això és incorrecte dir que és independent de l’alçada (c).",Examens_finals_installacions_ENUNCIATS.pdf p.21
