Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
"¿Cuál es la consecuencia técnica de que las aguas residuales no cumplan los criterios marcados por la ACA al ser evacuadas?","Se prohíbe permanentemente el vertido a la red pública.","Será necesario un tratamiento de adecuación previo a la evacuación.","Se debe cambiar el punto de abocamiento a una conca pública.","La instalación debe pasar obligatoriamente a un sistema de elevación mecánica.","B","Según el texto, si las aguas no cumplen los criterios de la entidad gestora (ACA), se requiere un tratamiento previo para su adecuación, especialmente en usos industriales u hospitalarios.","Si aquestes aigües no compleixen els criteris marcats per l’entitat que gestiona el sistema de recollida exterior (ACA), serà necessari un tractament d’adequació per poder-les evacuar"
"En un sistema de sanejament municipal separatiu, ¿qué ventaja técnica específica se menciona respecto a la gestión de aguas?","Permite la eliminación total de los colectores enterrados.","Evita la necesidad de ventilación primaria en los bajantes.","Permite la reutilización pluvial y tratamientos separativos según necesidades.","Reduce la pendiente mínima de los colectores al 1%.","C","El sistema separativo divide las pluviales de las negras y grises, lo que facilita el tratamiento diferenciado y la reutilización de las aguas de lluvia.","Separativa: Pluvials, Negres + grises  permet reutilització pluvial i tractaments separatius segons necessitats."
"Según los criterios de diseño para la optimización del uso del agua, ¿cuál es el objetivo final de minimizar el volumen de agua residual vertido?","Aumentar la presión en la red de suministro de agua potable.","Reducir el volumen de agua a tratar en las EDARs.","Eliminar la necesidad de instalar arquetas registrables.","Permitir el uso de tuberías de menor diámetro en la ventilación terciaria.","B","El diseño busca minimizar el vertido exterior para que las estaciones depuradoras (EDARs) tengan una carga menor de trabajo.","Minimitzar el volum d’aigua residual abocat al sistema de recollida exterior  menor volum a tractar a les EDARs."
"Para el dimensionado de la red de sanejament de aguas grises y negras, ¿qué factor determina que el cálculo sea superior?","La intensidad pluviométrica de la zona.","El uso público del edificio frente al uso privado.","La altura del edificio si supera las 14 plantas.","La instalación de un sistema de elevación mecánica.","B","El cálculo de unidades de aparatos incluye un factor que es superior en uso público debido a la mayor concurrencia de usuarios.","Grises i negres: càlcul en funció de les unitats d’aparells i un factor segons si és ús públic o privat (superior en públic  més usuaris)."
"En la instalación de colectores, ¿cuál es la diferencia técnica de pendiente mínima exigida entre los enterrados y los colgados?","Enterrados 1% y colgados 2%.","Enterrados 2% y colgados 1%.","Ambos requieren un 2% de pendiente mínima.","Ambos requieren un 1% de pendiente mínima.","B","El texto especifica que los colectores enterrados (entre forjado y falso techo) requieren un 2% mínimo, mientras que los colgados (vistos) requieren un 1%.","Enterrats: col·locats entre forjat i fals sostre. Pendent mínim 2%. Penjats: vistos (sense fals sostre, típic pàrquings, soterranis...). Pendent mínim 1%."
"Para garantizar el buen funcionamiento de un sistema de evacuación por gravedad, ¿cuál es el ángulo mínimo requerido para las uniones de desagües a bajantes?","90º.","30º.","45º.","60º.","C","Para evitar turbulencias y asegurar el flujo natural, las uniones deben realizarse con un ángulo mínimo de 45 grados.","Fer les unions de desguassos a baixants mínim a 45º."
"En el sistema de evacuación 'de tub ple' para pluviales, ¿qué función cumple la forma de venturi en la conexión?","Actuar como un cierre hidráulico para evitar olores.","Filtrar los residuos sólidos antes de llegar al bajante.","Acelerar la velocidad del agua para facilitar la evacuación.","Permitir la entrada de aire para evitar el sifonamiento por aspiración.","C","La forma de venturi se utiliza específicamente para aumentar la velocidad del agua en sistemas de sección llena.","De tub ple: per pluvials. La connexió entre canaló i derivació té forma de venturi, per accelerar la velocitat de l’aigua i facilitar l’evacuació pel baixant."
"¿Cuál es la función técnica principal de un sifón en la red de saneamiento?","Aumentar la presión de descarga de los aparatos sanitarios.","Actuar como sello hidráulico para independizar la zona de aguas residuales de los locales habitados.","Permitir la inspección de los colectores enterrados.","Regular el caudal de agua hacia la arqueta de la vía pública.","B","Los sifones crean una barrera de agua que impide que los gases y malos olores de las tuberías entren en las estancias.","Funció: actuen com a elements de tancament o segell hidràulic  independitzen la part de la canonada aigües avall l’aparell (conté les aigües residuals que poden generar males olors) de la part en contacte amb els locals"
"El fenómeno de 'sifonatge per compressió' afecta principalmente a:","Las plantas más altas del edificio debido a la falta de presión.","Las derivaciones de más de 5 metros de longitud.","Las plantas más bajas del edificio.","Los sistemas que utilizan exclusivamente ventilación primaria.","C","El pistón hidráulico comprime el aire en la parte inferior del bajante, empujando el agua de los sifones en las plantas bajas.","Sifonatge per compressió: [...] Aquest pistó empeny l’aigua dels sifons dels aparells sanitaris, trencant el tancament hidràulic. Problema que afecta sobretot a les plantes més baixes."
"¿En qué circunstancia se produce el 'auto sifonatge' según el texto?","Cuando el bajante no tiene salida a la cubierta.","Cuando la derivación es muy larga y de poca sección.","Cuando se conectan dos colectores con flujos enfrentados.","Cuando el edificio supera las 15 plantas.","B","Si la derivación es larga y estrecha, el propio flujo de descarga puede llenar la sección y crear una succión que vacía el sifón.","Auto sifonatge: quan la derivació és molt llarga i de poca secció, l’abocament abans de passar al baixant pot omplir completament la canonada de la derivació, produint una aspiració"
"Respecto a la ventilación primaria, ¿cuál es el requisito de altura para la salida en una cubierta transitable?","Mínimo 1,3 metros.","Mínimo 1,0 metros.","Mínimo 2 metros.","Debe estar a la misma altura que la toma de aire de climatización.","C","Para cubiertas transitables, la normativa exige una altura mayor (2m) para evitar molestias y riesgos a las personas.","Per cobertes transitable, ha de sobresortir mínim 2 m."
