Pregunta,Opcion A,Opcion B,Opcion C,Opcion D,Respuesta Correcta,Explicacion,Referencia
"En un hotel instal·lem 40 captadors solars de buit fotovoltaics per a la generació d'ACS i podem afirmar que:","La superfície de captació mínima no anirà en funció de les característiques del captador, inclinació, orientació i volum d'acumulació","Els orientarem al nord i amb una inclinació similar a la latitud ja que ha de donar servei tot l'any","Haurem de posar una caldera de recolzament per donar suport a als captadors en cas de necessitat","Cap de les anteriors","C","Els sistemes solars tèrmics per normativa (CTE HE4) requereixen un sistema d'energia auxiliar o de suport (caldera) per garantir el subministrament quan la radiació no és suficient.","EXAMEN FINAL Q2 19-20"
"Indica la resposta incorrecta respecte a la xarxa de fontaneria d'aigua potable freda d'un edifici:","Una xarxa ramificada és apropiada per a nuclis d'estructura lineal allargada amb longituds de fins a 1000m","Una xarxa mallada subministra aigua entre 500 i 1500 edificis","Un avantatge de la xarxa mixta és la seva facilitat de càlcul","La xarxa mallada té una major seguretat en la distribució ja que es pot sectoritzar mitjançant vàlvules de pas","C","La xarxa mixta sol ser més complexa de calcular que una purament ramificada.","EXAMEN FINAL Q2 19-20"
"Respecte als sistemes de protecció activa contra incendis d'un edifici, quina de les següents afirmacions és incorrecta:","Qualsevol edifici tindrà com a mínim extintors manuals i enllumenat d'emergència","Les boques d'incendi d'un edifici que es troba dins de l'àmbit d'aplicació del CTE DB SI seran de 25mm","La distribució dels detectors de fums és independent de l'alçada a la que estan col·locats","La columna seca està prevista per ser utilitzada pels bombers","C","La distribució i tipus de detectors depèn críticament de l'alçada del local (per exemple, detectors lineals per a grans alçades).","EXAMEN FINAL Q2 19-20"
"Respecte als sistemes de detecció i alarma automàtica contra incendis, podem afirmar que:","Els detectors iònics són ideals per als aparcaments subterranis","Els detectors de temperatura poden ser de tipus puntual o de barrera","Els polsadors manuals d'alarma no es poden considerar com a part del sistema de detecció automàtica","Cap de les anteriors és certa","C","Els polsadors són sistemes manuals, no de detecció automàtica. Els iònics no es recomanen a pàrquings pels fums dels cotxes (falses alarmes).","EXAMEN FINAL Q2 19-20"
"Respecte a la descalcificació d'un tractament d'aigua, indica la resposta incorrecta:","L'aigua conté productes minerals dissolts (calci i magnesi) que poden precipitar si es sotmeten a temperatura elevada","En aigües dures i canonades que van al sistema d'aigua calenta o vapor és necessari instal·lar un descalcificador","L'aigua es passa per un dipòsit que conté resines d'intercanvi iònic (NaCl). La sal reacciona amb els ions Ca i Mg","No cal cap sortida cap a un desaigua, l'aigua de rebuig és poca i es retira cada cert temps","D","És fals. Els descalcificadors requereixen regeneració de resines i rentat, procés que necessita obligatòriament connexió al desguàs.","EXAMEN FINAL Q2 19-20"
"Els problemes del sifonatge en les instal·lacions de sanejament venen donats per (indica la resposta correcta):","Sifonatge per aspiració: L'acumulació de descàrregues en un baixant augmenta el cabal, creant un pistó hidràulic que succiona l'aigua dels sifons","Sifonatge per compressió: Pistó hidràulic arriba al baixant i crea darrera seu una depressió","Auto sifonatge: Quan la derivació és molt curta","Totes les afirmacions anteriors són correctes","A","El principal problema descrit és el buidat dels sifons per l'efecte d'aspiració (succió) provocat pel pistó hidràulic en el baixant.","EXAMEN FINAL Q2 19-20"
"En quant a la legionel·la, és fals que:","És un virus que es reprodueix en medi aquàtic i infecta als humans a través de les vies respiratòries","És perillós on l'aigua passa d'estat líquid a estat gasós","Es reprodueix a 30°C i mor a 50°C (aprox)","És una malaltia de declaració obligatòria associada a torres de refrigeració, ACS, etc.","A","La legionel·la és un bacteri, no un virus.","EXAMEN FINAL Q2 19-20"
"Què pot provocar i és característic d'un excés de pressió en la distribució d'aigua?","Sorolls i vibracions de les canonades de distribució","Majors cabals d'aigua","Escurça la vida útil i major probabilitat d'avaries","Totes les anteriors són certes","D","L'excés de pressió genera tots aquests problemes: cops d'ariet (soroll), fatiga de materials i consum excessiu.","EXAMEN FINAL Q2 19-20"
"Respecte els materials utilitzats en la distribució d'aigua, indica la resposta correcta:","L'acer inoxidable s'utilitza en execució vista, és molt resistent i molt car","El coure es pot utilitzar per usos no sanitaris amb execució vista normal","El polietilè es pot utilitzar per usos sanitaris i té les mateixes aplicacions que el coure amb l'excepció que no es pot soterrar","El polipropilè té les mateixes prestacions que el polietilè però no es pot soterrar","A","L'acer inoxidable és el material de més qualitat, resistència i preu, usat sovint en trams vistos o indústries exigents.","EXAMEN FINAL Q2 19-20"
"Un emprenedor ens ha encarregat el projecte d'ACS de la seva nova casa (una mansió a l'Av. Pearson). Per tant apostaríem per un disseny:","De generació individual, ja que tenim consums importants","De generació centralitzada, ja que podrem tenir consums punta elevats a diferents llocs a la vegada, amb sistema de retorn","De generació híbrida sense necessitat d'emmagatzemar","Cap de les anteriors","B","En habitatges de grans dimensions (mansions), el sistema centralitzat amb acumulació i circuit de retorn garanteix el confort (aigua calenta ràpida) i cobreix puntes de demanda simultànies.","EXAMEN FINAL Q2 19-20"
"Respecte als sistemes de protecció activa contra incendis d'un edifici, podem afirmar:","Els hidrants sempre es troben a la via pública","El sistema d'abastament d'aigua d'un edifici de risc extra ha de garantir cabal suficient per tots els ruixadors automàtics instal·lats","El cabal del sistema d'abastament depèn només del número de boques","Totes les anteriors són incorrectes","B","Per a risc extra, el proveïment d'aigua ha de ser capaç d'alimentar simultàniament tots els ruixadors que s'activin en l'àrea d'operació de disseny.","EXAMEN FINAL Q2 19-20"
"Respecte a la instal·lació d'aigua calenta sanitària, indica la resposta incorrecta:","El dipòsit d'acumulació de calor acumula el fluid a la temperatura de servei i així el generador pot treballar més uniforme","La xarxa de distribució trasllada el fluid calent als punts de consum i està sectoritzada","Respecte del circuit obert l'aigua del mateix circuit d'escalfament és la que s'utilitza en les aplicacions d'aigua sanitària","Respecte del circuit tancat s'ha de tenir especial cura en la legionel·la del circuit primari","D","En un circuit tancat (primari), l'aigua no entra en contacte amb l'ambient ni es consumeix, per tant el risc de legionel·la és crític en el secundari (ACS), no tant en el primari.","EXAMEN FINAL Q2 19-20"
"Marca l'afirmació incorrecta respecte a les escomeses i Instal·lacions d'enllaç de BT:","La responsabilitat del client comença en els borns de la CGP","L'ICP només té la funció de limitar la potència de la instal·lació de l'abonat","La DI connecta l'equip de mesura amb el quadre general","La escomesa inclou la línia general d'alimentació","B","L'ICP també actua com a element de protecció (tall) i seguretat, no únicament com a limitador comercial.","EXAMEN FINAL Q2 19-20"
"Marca l'afirmació correcta respecte a la ITC-BT08 sobre el sistema de connexió del neutre:","L'esquema de distribució per a instal·lacions receptores alimentades directament de xarxa pública de BT és el TT","L'esquema de distribució per a instal·lacions receptores alimentades directament és el TN","Les instal·lacions amb l'esquema TN necessiten diferencial","Les instal·lacions amb l'esquema IT són selectives en tot moment","A","L'esquema obligatori per a xarxes de distribució pública en BT a Espanya és el TT (Neutre a terra, Masses a terra).","EXAMEN FINAL Q2 19-20"
"Marca l'ordre i l'aplicació correcta de les regles d'or (RD 614/2001):","Desconnectar, Prevenir realimentació, Verificar absència tensió, Posada a terra i en curtcircuit, Senyalitzar","Desconnectar, Verificar, Prevenir, Posada a terra, Senyalitzar","Desconnectar, Prevenir, Posada a terra, Verificar, Senyalitzar","Cap de les anteriors","A","Seqüència correcta: 1. Obrir amb tall visible, 2. Bloqueig (prevenir), 3. Verificar absència tensió, 4. Posada a terra i curtcircuit, 5. Senyalitzar zona.","EXAMEN FINAL Q2 19-20"
"Què pot provocar i és característic d'un excés de pressió en la distribució d'aigua? (Repetida)","Insatisfacció dels usuaris","Un excés de consum","Fatiga del materials","Totes les anteriors són certes","D","Veure explicació anterior.","EXAMEN FINAL Q2 19-20"
"Marca la resposta correcta (Selectivitat):","Per garantir la selectivitat amb diferencials en sèrie, el d'aigües amunt ha de triplicar la sensibilitat i ser tipus S","Per garantir la selectivitat és obligatori que el d'aigües amunt sigui tipus S","En enllumenat públic les lluminàries de classe I han d'estar a terra","Tots els elements metàl·lics han d'estar connectats a xarxa equipotencial","A","Regla de selectivitat vertical diferencial: Idn(amunt) >= 3 * Idn(avall) i temps(amunt) > temps(avall) (Tipus S).","EXAMEN 06-18"
"Pel que a les següents mesures de protecció contra incendis, indica la resposta incorrecta:","Cap punt d'un edifici comercial ha d'estar a més de 15 metres d'un extintor manual","Cap punt d'un edifici comercial de 25.000m2 ha d'estar a més de 25m d'una BIE","Els detectors de fums de tipus òptic son el sistema ideal per la detecció d'incendis en un aparcament de vehicles","La distribució dels elements de detecció depèn de la tecnologia emprada","C","En aparcaments no s'usen detectors òptics de fums per les falses alarmes dels gasos d'escapament; s'usen tèrmics o termovelocimètrics.","EXAMEN 06-18"
"Respecte als punts de captació per obtenir aigua, és cert que:","Poden fer-se directament a llera pública amb autorització","La quantitat d'aigua de llera pública és il·limitada","Si el punt de captació és la xarxa de la companyia, la continuïtat està garantida","L'equip de control de consum (comptador) únicament és necessari en cas de companyia","D","(Segons apunts de l'examen, tot i que tècnicament sempre cal comptador, la resposta marcada com a 'certa' en el context de l'examen sol ser la D, o bé s'indica que els dos en necessiten). En el text apareix 'Els 2 tenen comptador', suggerint que la D és la que es discutia com a falsa/certa. Si la pregunta busca la 'certa', sovint és la A (es pot amb autorització). El text manuscrit marca la D amb una correcció.","EXAMEN 06-18"
"Quin dels següents aspectes és idèntic tant en una captació pròpia com en una captació a xarxa de companyia:","Manteniment de la qualitat de l'aigua","Inversió econòmica inicial","Pagament del cànon de sanejament","Manteniment de la infraestructura de captació","A","La qualitat de l'aigua de consum humà s'ha de mantenir (i garantir) independentment de l'origen (RD 140/2003).","EXAMEN 06-18"
"Marca la afirmació incorrecta (Dipòsits):","Reduir dimensions d'equips de tractament pot ser motiu d'instal·lar dipòsit","Les dimensions condicionen el material","Un sistema d'acumulació permet tenir un cabal a l'escomesa inferior al cabal punta","En general disposar d'acumulació permet prescindir del grup de pressió","D","Normalment l'acumulació trenca la pressió de xarxa, per la qual cosa gairebé sempre és imprescindible instal·lar un grup de pressió a la sortida del dipòsit.","EXAMEN 06-18"
"Respecte a la legionel·la indica la resposta correcta:","La seva presència condiciona el disseny de totes les instal·lacions de producció d'ACS","És un bacteri que es troba en aliments","Obliga a preparar l'ACS a una temperatura superior a la necessària en consum","La resta són errònies","C","Per prevenció, l'aigua s'ha d'acumular a >60ºC, tot i que per a ús (consum) n'hi ha prou amb 40-45ºC (requereix mescla).","EXAMEN 06-18"
"La desinfecció periòdica contra el bacteri de la legionel·la:","Únicament es pot fer per xoc tèrmic","Únicament es pot fer per xoc químic","Es pot fer per filtratge del biofilm","Cap de les anteriors és certa","D","La normativa permet diferents mètodes (tèrmic, químic), per tant les opcions que diuen 'únicament' són falses.","EXAMEN 06-18"
"Marqueu la resposta correcta (Sanejament):","El sifó és un dispositiu mecànic","La ventilació terciària és pròpia d'oficines","La ventilació primària evita el desifonament per expulsió cap a l'exterior","La ventilació secundària és un tub paral·lel connectat a cada planta","C","La ventilació primària (prolongació del baixant) comunica amb l'exterior per equilibrar pressions i evitar que l'efecte pistó buidi els sifons.","EXAMEN 06-18"
"Respecte als següents elements de la xarxa de sanejament, marqueu la resposta incorrecta:","Les buneres recullen l'aigua acumulada","La ventilació garanteix que no es produeixin desifonaments","Els pous de bombeig son la solució idònia en sistemes que funcionin per gravetat","El col·lector és un tram horitzontal","C","Si un sistema pot funcionar per gravetat (més fiable i barat), el bombeig no és la solució idònia (consumeix energia i requereix manteniment).","EXAMEN 06-18"
"Indica la resposta incorrecta respecte a la xarxa de fontaneria d'aigua potable freda d'un edifici:","El cabal i pressió mínims són a criteri de l'enginyer projectista","La necessitat de garantir la continuïtat la determina l'usuari","En cas d'usos sanitaris, ha de complir RD 140/2003","En cas d'ús industrial, la qualitat la defineix el procés","A","El cabal i pressió mínims venen determinats per normativa (CTE DB HS4) segons el tipus d'aparell, no són a lliure criteri.","EXAMEN 01-19"
"En els dipòsits d'acumulació d'aigua freda podem afirmar que:","Són d'obligada instal·lació segons el CTE","Es dimensionen amb garantia per 24-48 hores","Es dimensionen pel consum punta","S'instal·len per evitar grups de bombeig","B","El criteri habitual de disseny és garantir una reserva d'aigua per a 1 o 2 dies (24-48h).","EXAMEN 01-19"
"Marca l'afirmació correcta sobre els sistemes de tractament d'aigua:","En els edificis d'ús públic, és obligatòria la cloració de l'aigua abans de ser acumulada","Els sistemes de descalcificació eliminen el clor","Els equips d'osmosi eliminen el 100% de les partícules","La descalcificació només s'aconsella a l'aigua freda","A","Si s'acumula aigua de consum en dipòsits d'edificis públics, és obligatori garantir els nivells de clor (re-cloració si cal) per evitar contaminació.","EXAMEN 01-19"
"Podem afirmar que els materials per a la xarxes de distribució d'aigua:","L'acer negre és ideal per a consum humà","L'acer galvanitzat no es pot utilitzar per a consum humà","El coure pot provocar corrosió en contacte amb altres metalls","En xarxes d'ACS plàstiques no cal aïllament","C","El coure és un material noble que pot provocar parells galvànics (corrosió) si es connecta directament a metalls menys nobles com l'acer galvanitzat.","EXAMEN 01-19"
"En les instal·lacions de producció solar podem afirmar que:","L'aigua de consum passa a través dels captadors","L'acumulador solar sempre disposa d'una resistència o suport per augmentar temperatura","El rendiment màxim és en horitzontal","Cap de les anteriors","B","És necessari un sistema auxiliar (resistència elèctrica o bescanviador amb caldera) per assegurar que s'arriba a la temperatura de consigna quan no hi ha sol.","EXAMEN 01-19"
"Respecte a la legionel·la indica la resposta correcta (Repetida):","És un bacteri que es troba en aliments","Obliga a preparar l'ACS a una temperatura superior a la de consum","La seva presència condiciona totes les instal·lacions","És perillós on l'aigua passa de líquid a gas","B","La temperatura de preparació ha de ser alta (>60ºC) per desinfectar, superior a la d'ús (40ºC).","EXAMEN 01-19"
