numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
1,¿Cuál de las siguientes afirmaciones es cierta?,multiple,Siempre es posible fabricar una pieza en una única fase.|Todos los procesos son siempre deterministas.|En muchas ocasiones es recomendable utilizar varias fases de fabricación.|Las otras tres afirmaciones son falsas.,En muchas ocasiones es recomendable utilizar varias fases de fabricación.,"En la práctica industrial es habitual dividir la fabricación en varias fases para mejorar calidad, precisión y eficiencia."
2,¿Cuál de los siguientes es una característica típica de las máquinas CNC?,multiple,Baja precisión de posicionamiento.|Alta dependencia del trabajo manual.|Alta repetibilidad y fiabilidad.|Complejidad elevada del sistema mecánico.,Alta repetibilidad y fiabilidad.,Las máquinas CNC se caracterizan por su alta repetibilidad y fiabilidad gracias al control automatizado del movimiento.
3,"¿Qué diferencia principal hay entre un control con lazo abierto y un control con lazo
cerrado en una máquina CNC?",multiple,El control con lazo abierto necesita captadores de posición.|El control con lazo abierto funciona sin motores.|El control con lazo cerrado puede corregir errores mediante la retroalimentación de posición.|El control con lazo cerrado sólo funciona en máquinas de 5 ejes.,El control con lazo cerrado puede corregir errores mediante la retroalimentación de posición.,"El lazo cerrado incorpora realimentación (feedback) de posición, lo que permite corregir errores durante el movimiento."
4,"¿Qué combinación de factores afectará negativamente a la precisión de la trayectoria real
interpolada en una máquina CNC?",multiple,"Sólo la velocidad de avance programada.|Exclusivamente la masa de la herramienta y el material.|La duración del periodo de muestreo y la velocidad de avance, ya que pueden provocar una
trayectoria poligonalizada.|Sólo la temperatura ambiente y las vibraciones externas.","La duración del periodo de muestreo y la velocidad de avance, ya que pueden provocar una
trayectoria poligonalizada.",Un periodo de muestreo largo combinado con alta velocidad de avance puede aproximar la trayectoria con segmentos (poligonalización).
5,¿Cuál de las siguientes afirmaciones sobre las máquinas de control numérico es cierta?,multiple,Las impresoras 3D domésticas son máquinas de control numérico.|Una máquina de control numérico únicamente puede tener automatizada la función principal.|El elemento de control de una máquina de control numérico siempre es un PC.|La función principal de todas las máquinas de control numérico es fabricar piezas.,Las impresoras 3D domésticas son máquinas de control numérico.,"Una impresora 3D ejecuta movimientos programados por control numérico, por lo que encaja en la definición general de máquina CN."
6,¿Cuál de las siguientes funciones es no modal?,multiple,G0|M6|S1000|Las tres funciones indicadas son modales.,M6,M6 (cambio de herramienta) es una orden no modal: se ejecuta y no permanece activa como estado del control.
7,"¿Cuál de las siguientes afirmaciones sobre el ciclo fijo de taladrado G81 para fresadoras
con control numérico Fagor es falsa?",multiple,La Z indica la altura del plano de referencia.|Es un ciclo fijo modal.|Es posible definir un tiempo de espera de la broca en el fondo del taladro.|La broca obligatoriamente entra y sale del agujero girando.,La Z indica la altura del plano de referencia.,En G81 la Z normalmente define la profundidad/posición objetivo del taladrado; el plano de referencia se define con otros parámetros.
8,"En una estación de montaje, si el tiempo de transferencia es más pequeño que el tiempo
de las acciones que no interfieren con el palet, se puede afirmar que:",multiple,"Utilizar un sistema de transporte síncrono de palets disminuirá el tiempo de ciclo de la estación.|Aumentar la velocidad del manipulador durante la maniobra de insertar la pieza en el producto
aumentará la productividad de la estación.|Aumentar la velocidad de las pinzas al coger la pieza disminuirá el tiempo de ciclo de la
estación.|Aumentar la velocidad de las pinzas al dejar la pieza disminuirá el tiempo de ciclo de la
estación.","Aumentar la velocidad del manipulador durante la maniobra de insertar la pieza en el producto
aumentará la productividad de la estación.","Si la transferencia no limita el ciclo, la productividad mejora reduciendo acciones que sí interfieren: la inserción del manipulador."
9,"En una línea de montaje donde todas las estaciones utilizan sistemas de visión por
ordenador para identificar y posicionar las piezas y robots con cambio automático del
elemento terminal por sujeción y manipulación se puede afirmar que:",multiple,Es totalmente flexible.|Es rígida.|Le hace falta poder anular estaciones para ser totalmente flexible.|Las otras tres afirmaciones son falsas.,Le hace falta poder anular estaciones para ser totalmente flexible.,"Aunque haya visión y cambio automático de herramienta, para ser totalmente flexible debe poderse saltar/ anular estaciones."
10,"Se está seleccionando un robot para una estación de montaje que debe ser flexible y debe
poder garantizar un mismo nivel de repetibilidad en todos los puntos del área de trabajo.
¿Qué tipo de robot se recomendaría?",multiple,Cartesiano.|Antropomórfico.|Scara.|Delta.,Cartesiano.,Los robots cartesianos mantienen precisión y repetibilidad más uniformes en todo su volumen de trabajo al usar ejes lineales ortogonales.
