numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
1,¿Qué es un sistema de fabricación?,multiple,Conjunto de procesos y recursos para transformar material en producto|Una máquina herramienta aislada|Un software de gestión|Una cinta transportadora,Conjunto de procesos y recursos para transformar material en producto,Definición básica de sistema de fabricación.
2,Las acciones improductivas en un ciclo de fabricación incluyen...,multiple,"Carga y descarga, aproximación y retirada|Mecanizado|Soldadura|Montaje","Carga y descarga, aproximación y retirada",No aportan valor añadido al producto.
3,La metodología DFMA significa...,multiple,Design for Manufacturing and Assembly|Design for Management and Automation|Digital Fabrication and Manual Assembly|Direct Factory Management Application,Design for Manufacturing and Assembly,Diseño orientado a facilitar la fabricación y el montaje.
4,"En una distribución orientada al producto (cadena), las máquinas se agrupan por tipo de operación.",multiple,,Fals,Eso es en distribución por proceso (taller). En cadena siguen el flujo del producto.
5,La distribución por proceso (taller) tiene mayor flexibilidad que la línea transfer.,multiple,,Vertader,"Permite fabricar mayor variedad de piezas, aunque con menor productividad."
6,Una línea transfer es un sistema...,multiple,Rígido y de alta productividad|Flexible y de baja productividad|Flexible y alta productividad|Rígido y baja productividad,Rígido y de alta productividad,Diseñada para fabricar masivamente un único producto o muy similares.
7,Reducir el número de fases de fabricación conlleva...,multiple,Disminución de errores y material en proceso|Aumento de stock|Mayor complejidad logística|Peor calidad,Disminución de errores y material en proceso,Menos manipulaciones y preparaciones.
8,La sinterización es un proceso de...,multiple,Aumento de cohesión (pulvimetalurgia)|Arranque de viruta|Deformación plástica|Unión por adhesivo,Aumento de cohesión (pulvimetalurgia),Compactación y calentamiento de polvo metálico.
9,El rectificado es un proceso de...,multiple,Arranque de partículas (abrasivo)|Arranque de viruta|Fundición|Corte,Arranque de partículas (abrasivo),Usa muelas abrasivas para acabados de alta precisión.
10,Un utillaje es un elemento...,multiple,No fungible e intercambiable|Fungible e intercambiable|No fungible y no intercambiable|Fungible,No fungible e intercambiable,"Ayuda a sujetar o guiar, se reaprovecha (no se gasta como la herramienta) y se cambia según la pieza."
11,NC significa Control Numérico y CNC Control Numérico Computerizado.,multiple,,Vertader,El CNC incorpora microprocesador.
12,"En un sistema de lazo cerrado (closed loop), existe realimentación de posición.",multiple,,Vertader,El encoder informa de la posición real para corregir errores.
13,Los motores paso a paso se suelen usar en sistemas de...,multiple,Lazo abierto (Open loop)|Lazo cerrado|Alta potencia|Husillos principales,Lazo abierto (Open loop),Son económicos pero pueden perder pasos si se supera el par.
14,El 'feedrate' (F) es...,multiple,La velocidad de avance|La velocidad de giro del cabezal|La potencia|La posición,La velocidad de avance,mm/min o mm/rev.
15,El control paraxial permite controlar la velocidad de...,multiple,Un solo eje cada vez|Varios ejes simultáneamente|Ningún eje|Solo el cabezal,Un solo eje cada vez,No permite interpolación (diagonales o curvas controladas).
16,El control de contorneado permite la interpolación de ejes.,multiple,,Vertader,Sincroniza varios ejes para trazar rectas o curvas en el espacio.
17,El error de seguimiento es...,multiple,La diferencia entre la posición teórica y la real en un instante|El error de medida de la pieza|El juego de las guías|La holgura del husillo,La diferencia entre la posición teórica y la real en un instante,Retraso inherente al sistema de control.
18,Un centro de mecanizado se diferencia de una fresadora CNC por tener...,multiple,Cambio automático de herramienta (ATC)|Más ejes|Mayor potencia|Control Fagor,Cambio automático de herramienta (ATC),Permite realizar múltiples operaciones sin intervención manual.
19,El código G00 indica...,multiple,Posicionamiento rápido (sin mecanizar)|Interpolación lineal|Interpolación circular|Pausa,Posicionamiento rápido (sin mecanizar),Va a la máxima velocidad de la máquina.
20,El código G01 indica...,multiple,Interpolación lineal a velocidad programada (F)|Posicionamiento rápido|Interpolación circular|Ciclo de taladrado,Interpolación lineal a velocidad programada (F),Mecanizado en línea recta.
21,El código G02 realiza una interpolación circular en sentido horario.,multiple,,Vertader,G03 es antihorario.
22,La función M03 suele activar...,multiple,Giro del cabezal en sentido horario|Parada del cabezal|Cambio de herramienta|Refrigerante,Giro del cabezal en sentido horario,"M04 antihorario, M05 parada."
23,"El decalaje de origen (G54, G55...) sirve para...",multiple,Definir el cero pieza respecto al cero máquina|Cambiar la herramienta|Compensar el radio|Definir la velocidad,Definir el cero pieza respecto al cero máquina,Facilita la programación respecto a la pieza.
24,La compensación de radio de herramienta (G41/G42) permite programar el contorno real de la pieza.,multiple,,Vertader,El CNC calcula la trayectoria del centro de la herramienta desplazada un radio.
25,Un ciclo fijo (ej. G81) sirve para...,multiple,Simplificar operaciones repetitivas como taladrado|Cambiar herramientas|Medir la pieza|Arrancar el sistema,Simplificar operaciones repetitivas como taladrado,Define la secuencia de movimientos con una sola línea de código.
26,"En una línea de montaje, el 'cuello de botella' es la estación con...",multiple,Mayor tiempo de ciclo|Menor tiempo de ciclo|Más operarios|Menos piezas,Mayor tiempo de ciclo,Limita la capacidad productiva de toda la línea.
27,El equilibrado de líneas busca...,multiple,Igualar la carga de trabajo de todas las estaciones|Maximizar el stock intermedio|Reducir la velocidad|Aumentar el número de estaciones,Igualar la carga de trabajo de todas las estaciones,Para minimizar tiempos muertos y aumentar eficiencia.
28,Un sistema 'Poka-Yoke' es...,multiple,Un sistema a prueba de errores|Una técnica de gestión japonesa|Un tipo de robot|Un sensor de visión,Un sistema a prueba de errores,Impide físicamente que se produzca el error (ej. conector que solo entra en una posición).
29,La alimentación de piezas en montaje automático suele usar...,multiple,Vibradores electromagnéticos (Bols)|Cintas transportadoras|AGVs|Carretillas,Vibradores electromagnéticos (Bols),"Orientan y suministran piezas pequeñas (tornillos, etc.)."
30,Un sensor inductivo detecta...,multiple,Materiales metálicos|Cualquier objeto|Plásticos|Líquidos,Materiales metálicos,Mediante campo magnético.
31,Un sensor capacitivo puede detectar materiales no metálicos.,multiple,,Vertader,"Detecta cambios en el dieléctrico (líquidos, plásticos, mano)."
32,Un PLC (Programmable Logic Controller) se diseñó originalmente para sustituir...,multiple,Paneles de relés cableados|Ordenadores personales|Robots|Sistemas hidráulicos,Paneles de relés cableados,Para dar flexibilidad a la lógica de control.
33,El lenguaje Ladder o de contactos se asemeja a...,multiple,Esquemas eléctricos tradicionales|Código C++|Python|G-Code,Esquemas eléctricos tradicionales,Facilita la transición de electricistas al PLC.
34,SCADA significa...,multiple,Supervisory Control And Data Acquisition|System Control And Digital Automation|Standard Communication And Data Analysis|Safety Control And Device Activation,Supervisory Control And Data Acquisition,Sistema de supervisión y monitorización gráfica.
35,Un robot SCARA tiene...,multiple,Rigidez vertical y flexibilidad en el plano horizontal|Rigidez en todos los ejes|6 grados de libertad|Movimiento cartesiano,Rigidez vertical y flexibilidad en el plano horizontal,Ideal para ensamblaje vertical (Pick & Place).
36,El volumen de trabajo de un robot cartesiano es...,multiple,Un prisma rectangular|Una esfera|Un cilindro|Incierto,Un prisma rectangular,"Ejes X, Y, Z lineales."
37,Un robot antropomórfico suele tener...,multiple,6 grados de libertad (rotacionales)|3 ejes lineales|Configuración paralela|4 ejes,6 grados de libertad (rotacionales),"Imita el brazo humano (cintura, hombro, codo, muñeca)."
38,La precisión de repetibilidad de un robot es...,multiple,Su capacidad para volver al mismo punto repetidamente|La diferencia entre el punto programado y el real|Su carga máxima|Su velocidad,Su capacidad para volver al mismo punto repetidamente,Suele ser mejor que la precisión absoluta.
39,El TCP (Tool Center Point) es...,multiple,El punto de acción de la herramienta del robot|El centro de la base|El panel de control|El software,El punto de acción de la herramienta del robot,Respecto al cual se programan las trayectorias.
40,Una Célula de Fabricación Flexible (FMC) suele constar de...,multiple,"Una o varias máquinas CNC, robot/cambiador palets y ordenador de control|Una línea transfer|Tornos manuales|Solo software","Una o varias máquinas CNC, robot/cambiador palets y ordenador de control",Trabaja de forma autónoma procesando piezas distintas.
41,Un AGV (Automated Guided Vehicle) sirve para...,multiple,Transporte automático de materiales|Mecanizar piezas|Inspeccionar calidad|Soldar,Transporte automático de materiales,"Filoguiado, optoguiado o láser."
42,La Tecnología de Grupos (GT) consiste en...,multiple,Agrupar piezas similares en familias para fabricarlas juntas|Agrupar trabajadores|Agrupar máquinas por tipo|Comprar en grupo,Agrupar piezas similares en familias para fabricarlas juntas,Permite aplicar técnicas de flujo a lotes pequeños.
43,Un Sistema de Fabricación Flexible (FMS) integra varias células mediante...,multiple,Un sistema de transporte automático y un control centralizado|Operarios manuales|Carretillas elevadoras|Cintas transportadoras rígidas,Un sistema de transporte automático y un control centralizado,Alta automatización y flexibilidad simultánea.
