numero,pregunta,tipo,opciones,respuesta_correcta,justificacion
1,¿Cuál es la función principal de una red de fontanería AFS?,multiple,"Portar agua del punto de captación al de consumo garantizando caudal, presión y calidad|Evacuar aguas residuales|Recoger aguas pluviales|Tratar el agua residual","Portar agua del punto de captación al de consumo garantizando caudal, presión y calidad","La función es el suministro (abastament), no el saneamiento."
2,"En una red ramificada, una avería corta el suministro en todos los puntos aguas abajo.",multiple,,Vertader,Es una de las principales desventajas de las redes ramificadas frente a las malladas.
3,La red mallada tiene como inconveniente un cálculo más complejo.,multiple,,Vertader,Requiere métodos iterativos (Cross) o software específico debido a los múltiples caminos de flujo.
4,¿Qué tipo de acometida garantiza la potabilidad del agua suministrada?,multiple,Acometida de compañía|Captación privada de pozo|Captación de río|Recogida de pluviales,Acometida de compañía,La compañía suministradora es responsable legal de la calidad y potabilidad hasta el contador.
5,El Código Técnico de la Edificación (CTE) regula el suministro de agua para procesos industriales.,multiple,,Fals,El CTE-DB-HS4 regula el uso 'sanitario' (doméstico/terciario). El proceso industrial se rige por su propia ingeniería.
6,¿Qué elemento es obligatorio para evitar el retorno de agua de la instalación interior a la red pública?,multiple,Válvula de retención|Filtro|Contador|Grifo de comprobación,Válvula de retención,Impide la contaminación de la red pública por retorno (antirretorno).
7,¿Cuál es la presión mínima de suministro en puntos de consumo habituales según CTE?,multiple,1 bar (100 kPa)|3 bar (300 kPa)|5 bar (500 kPa)|0.5 bar (50 kPa),1 bar (100 kPa),El mínimo es 1 bar para grifos comunes (1.5 bar para fluxores).
8,Un exceso de presión (más de 5 bar) en la red puede provocar...,multiple,"Ruido, vibraciones y reducción de vida útil|Mayor confort|Menor consumo de agua|Mejor calidad del agua","Ruido, vibraciones y reducción de vida útil",También provoca un exceso de consumo innecesario. Se deben instalar reductoras de presión.
9,El polipropileno (PP) permite unión por soldadura (termofusión).,multiple,,Vertader,"La termofusión crea uniones muy seguras y estancas, eliminando juntas mecánicas."
10,El acero galvanizado puede estar en contacto directo con tuberías de cobre.,multiple,,Fals,Se produce el par galvánico (electrólisis) que corroe el acero. Se necesita manguito dieléctrico.
11,¿Qué tratamiento elimina la dureza (cal y magnesio) del agua?,multiple,Descalcificación|Cloración|Filtración|Osmosis inversa,Descalcificación,Mediante resinas de intercambio iónico (intercambia Ca/Mg por Na).
12,La ósmosis inversa utiliza membranas semipermeables para desmineralizar el agua.,multiple,,Vertader,Retiene sales disueltas aplicando presión superior a la osmótica.
13,La legionela prolifera especialmente a temperaturas entre...,multiple,20ºC y 45ºC|50ºC y 70ºC|0ºC y 10ºC|>70ºC,20ºC y 45ºC,Es su rango óptimo de crecimiento. A partir de 50ºC deja de multiplicarse y a 70ºC muere instantáneamente.
14,"En un sistema de ACS con acumulación, el agua acumulada debe mantenerse a...",multiple,60ºC|45ºC|35ºC|90ºC,60ºC,Para prevenir la legionela según normativa (RD 865/2003 y CTE).
15,El retorno de ACS es obligatorio si la tubería de ida supera los...,multiple,15 metros|5 metros|50 metros|Siempre es obligatorio,15 metros,Para evitar tirar agua fría esperando que salga caliente y confort del usuario.
16,El sistema separativo de alcantarillado recoge aguas pluviales y residuales en la misma red.,multiple,,Fals,Eso es el sistema unitario. El separativo usa redes independientes.
17,¿Qué elemento hidráulico evita el paso de malos olores desde la alcantarilla?,multiple,Sifón|Bajante|Arqueta|Canalón,Sifón,Mediante el cierre hidráulico (agua retenida).
18,La ventilación primaria de las bajantes sirve para...,multiple,Evitar el desifonamiento por pistón o aspiración|Eliminar olores|Aumentar el caudal|Filtrar el agua,Evitar el desifonamiento por pistón o aspiración,Equilibra presiones en la bajante para no romper el cierre hidráulico.
19,Las aguas negras proceden de...,multiple,Inodoros y urinarios (fecales)|Duchas y lavabos|Cocinas|Lluvia,Inodoros y urinarios (fecales),Contienen materia orgánica fecal. Las de duchas/cocinas son aguas grises.
20,Un pozo de registro se debe colocar en los cambios de dirección de colectores enterrados.,multiple,,Vertader,Para permitir el acceso y mantenimiento/limpieza.
21,El PVC es un material habitual en redes de saneamiento pequeñas y medianas.,multiple,,Vertader,"Es ligero, barato y liso, muy usado en edificación."
22,La pendiente mínima recomendada para un colector de aguas residuales es del...,multiple,1 - 2%|0%|10%|0.1%,1 - 2%,Para garantizar la velocidad de autolimpieza sin erosionar excesivamente.
23,El Reglamento Electrotécnico de Baja Tensión (REBT) es el RD 842/2002.,multiple,,Vertader,Es la normativa marco actual en España para BT.
24,Baja Tensión en corriente alterna es hasta...,multiple,1000 V|1500 V|50 V|230 V,1000 V,Entre 50 y 1000 V en AC se considera Baja Tensión habitual.
25,La tensión nominal monofásica en España es de 230 V.,multiple,,Vertader,Y la trifásica es 400 V.
26,¿Qué dispositivo protege contra sobrecargas y cortocircuitos?,multiple,Interruptor Magnetotérmico (PIA)|Interruptor Diferencial|Fusible (solo corto)|Pararrayos,Interruptor Magnetotérmico (PIA),Parte térmica (sobrecarga) y magnética (cortocircuito).
27,¿Qué dispositivo protege a las personas contra contactos indirectos (fugas)?,multiple,Interruptor Diferencial|Magnetotérmico|ICP|Contador,Interruptor Diferencial,Detecta la diferencia de corriente entre fase y neutro (fuga a tierra).
28,El código de colores para la fase en instalaciones trifásicas puede ser...,multiple,"Marrón, Negro, Gris|Azul, Amarillo, Verde|Rojo, Blanco, Azul|Todo Negro","Marrón, Negro, Gris","Son los colores normalizados para L1, L2, L3."
29,El conductor neutro debe ser de color...,multiple,Azul|Amarillo-Verde|Negro|Marrón,Azul,Normativa de identificación de conductores.
30,El conductor de protección (Tierra) debe ser de color...,multiple,Amarillo y Verde|Azul|Negro|Gris,Amarillo y Verde,Identificación exclusiva para tierra.
31,La potencia eléctrica activa se mide en...,multiple,Vatios (W) o kW|Voltiamperios (VA)|Var|Amperios (A),Vatios (W) o kW,P = V * I * cos(phi).
32,El factor de potencia (cos phi) ideal es...,multiple,1|0|0.5|Infinito,1,Indica aprovechamiento total de la energía sin reactiva.
33,"En un sistema trifásico equilibrado, la corriente por el neutro es cero.",multiple,,Vertader,La suma vectorial de las tres fases desfasadas 120º es nula.
34,¿Qué caída de tensión máxima se permite en alumbrado desde el cuadro general según REBT?,multiple,3%|5%|10%|1%,3%,Para otros usos suele ser 5%.
35,Un esquema unifilar representa...,multiple,Todos los conductores con una sola línea y símbolos|La posición física real de los cables|El esquema de mando y potencia separado|La instalación de agua,Todos los conductores con una sola línea y símbolos,Simplifica la lectura de circuitos eléctricos.
36,El tubo corrugado empotrado tipo 'forroplast' (negro) está prohibido en instalaciones interiores.,multiple,,Vertader,Por ser propagador de la llama. Se deben usar tubos no propagadores (habitualmente gris).
37,El flujo luminoso se mide en...,multiple,Lúmenes (lm)|Lux (lx)|Candelas (cd)|Watios (W),Lúmenes (lm),Es la cantidad total de luz emitida por una fuente.
